treatment,placement,condition,pattern,ws_bytes,stores,iters,warmup,repeat,core,numa_bind,n_access,base_cyc,base_ns,base_l1,base_l2,base_ll,base_mem,base_stall,base_enabled,base_running,base_cs,base_mig,base_pf,base_gate,treat_cyc,treat_ns,treat_gate
dmb_ish,after_group,miss,random,536870912,1,1000000,0,0,0,0,1000000,12394050,3890208,1000533,94161,1000433,2000056,7396628,3876192,3876192,0,0,0,PASS,63051742,19611968,PASS
dmb_ish,after_group,miss,random,536870912,1,1000000,0,1,0,0,1000000,10334175,3264960,1000259,171512,998992,2000052,5655425,26729088,26729088,0,0,0,PASS,61321799,19089504,PASS
dmb_ish,after_group,miss,random,536870912,1,1000000,0,2,0,0,1000000,10218059,3198912,1000297,174884,998939,2000043,5549644,48995328,48995328,0,0,0,PASS,60515871,18823776,PASS
dmb_ish,after_group,miss,random,536870912,1,1000000,0,3,0,0,1000000,10143637,3180480,1000297,177900,998851,2000044,5481540,70980256,70980256,0,0,0,PASS,60499032,18809888,PASS
dmb_ish,after_group,miss,random,536870912,1,1000000,0,4,0,0,1000000,10065961,3150304,1000291,180333,998790,2000043,5409813,92920576,92920576,0,0,0,PASS,59469261,18487968,PASS
dmb_ish,after_group,miss,random,536870912,1,1000000,0,5,0,0,1000000,9998059,3128736,1000233,184368,998799,2000046,5353457,114517120,114517120,0,0,0,PASS,58954021,18325408,PASS
dmb_ish,after_group,miss,random,536870912,1,1000000,0,6,0,0,1000000,9916817,3102816,1000270,187774,998862,2000044,5278326,135926272,135926272,0,0,0,PASS,57720712,17951200,PASS
dmb_ish,after_group,miss,random,536870912,1,1000000,0,7,0,0,1000000,9734933,3046208,1000246,193743,998860,2000046,5118468,156904864,156904864,0,0,0,PASS,57690627,17940832,PASS
dmb_ish,after_group,miss,random,536870912,1,1000000,0,8,0,0,1000000,9651166,3019840,1000218,197467,998871,2000049,5042680,177846816,177846816,0,0,0,PASS,56607320,17602304,PASS
dmb_ish,after_group,miss,random,536870912,1,1000000,0,9,0,0,1000000,9441677,2954944,1000210,206005,998866,2000045,4859524,198385152,198385152,0,0,0,PASS,55171119,17148992,PASS
dmb_ish,after_group,miss,random,536870912,2,1000000,0,0,0,0,2000000,23353612,7304992,2000807,119029,2001296,4000097,13649471,7285536,7285536,0,0,0,PASS,108017831,33581568,PASS
dmb_ish,after_group,miss,random,536870912,2,1000000,0,1,0,0,2000000,20435431,6377728,2000362,229220,1997589,4000098,11862276,47220288,47220288,0,0,0,PASS,103504328,32259200,PASS
dmb_ish,after_group,miss,random,536870912,2,1000000,0,2,0,0,2000000,19877775,6201120,2000304,257912,1997479,4000102,11484986,85593888,85593888,0,0,0,PASS,101313636,31486528,PASS
dmb_ish,after_group,miss,random,536870912,2,1000000,0,3,0,0,2000000,19405877,6052384,2000256,278315,1997437,4000089,11120923,123112544,123112544,0,0,0,PASS,99468618,30912576,PASS
dmb_ish,after_group,miss,random,536870912,2,1000000,0,4,0,0,2000000,19207230,5992256,2000243,289228,1997457,4000092,10975363,159995776,159995776,0,0,0,PASS,98368202,30569344,PASS
dmb_ish,after_group,miss,random,536870912,2,1000000,0,5,0,0,2000000,18999882,5927008,2000280,296359,1997436,4000084,10786880,196470208,196470208,0,0,0,PASS,97333744,30253440,PASS
dmb_ish,after_group,miss,random,536870912,2,1000000,0,6,0,0,2000000,18790845,5859136,2000269,309669,1997420,4000085,10632559,232561888,232561888,0,0,0,PASS,96623620,30025824,PASS
dmb_ish,after_group,miss,random,536870912,2,1000000,0,7,0,0,2000000,18649905,5817120,2000173,312960,1997400,4000088,10518260,268384672,268384672,0,0,0,PASS,96200584,29894432,PASS
dmb_ish,after_group,miss,random,536870912,2,1000000,0,8,0,0,2000000,18609661,5802880,2000203,315538,1997469,4000085,10478331,304060768,304060768,0,0,0,PASS,96238167,29905216,PASS
dmb_ish,after_group,miss,random,536870912,2,1000000,0,9,0,0,2000000,18627507,5811264,2000188,314388,1997402,4000104,10501964,339756640,339756640,0,0,0,PASS,95961276,29814560,PASS
dmb_ish,after_group,miss,random,536870912,4,1000000,0,0,0,0,4000000,45114604,14077664,4001585,181304,3998224,8000207,25135816,14056992,14056992,0,0,0,PASS,198041295,61579616,PASS
dmb_ish,after_group,miss,random,536870912,4,1000000,0,1,0,0,4000000,44506531,13876192,4001479,190018,3995133,8000219,24888414,89481600,89481600,0,0,0,PASS,197876982,61497408,PASS
dmb_ish,after_group,miss,random,536870912,4,1000000,0,2,0,0,4000000,44367892,13827296,4001482,192503,3994982,8000215,24809214,164778144,164778144,0,0,0,PASS,197829284,61475808,PASS
dmb_ish,after_group,miss,random,536870912,4,1000000,0,3,0,0,4000000,44359386,13823872,4001467,194581,3995215,8000207,24908521,240048032,240048032,0,0,0,PASS,197799489,61470176,PASS
dmb_ish,after_group,miss,random,536870912,4,1000000,0,4,0,0,4000000,44312497,13804736,4001339,191700,3995005,8000205,24746546,315292544,315292544,0,0,0,PASS,197798921,61516928,PASS
dmb_ish,after_group,miss,random,536870912,4,1000000,0,5,0,0,4000000,44330588,13811232,4001421,192151,3995005,8000212,24782071,390554176,390554176,0,0,0,PASS,197874530,61517056,PASS
dmb_ish,after_group,miss,random,536870912,4,1000000,0,6,0,0,4000000,44333250,13815520,4001437,193452,3994974,8000211,24806827,465828736,465828736,0,0,0,PASS,197679917,61422080,PASS
dmb_ish,after_group,miss,random,536870912,4,1000000,0,7,0,0,4000000,44320055,13810848,4001496,191736,3995027,8000212,24725289,541033440,541033440,0,0,0,PASS,197824001,61485152,PASS
dmb_ish,after_group,miss,random,536870912,4,1000000,0,8,0,0,4000000,44321947,13817792,4001513,192097,3994989,8000200,24774027,616297824,616297824,0,0,0,PASS,197768093,61494144,PASS
dmb_ish,after_group,miss,random,536870912,4,1000000,0,9,0,0,4000000,44338922,13815200,4001453,193727,3994954,8000216,24867278,691548608,691548608,0,0,0,PASS,197736082,61442240,PASS
dmb_ish,after_group,miss,random,536870912,8,1000000,0,0,0,0,8000000,89261915,27808128,8002920,316423,7991882,16000846,48150739,27785312,27785312,0,0,0,PASS,383113460,119041600,PASS
dmb_ish,after_group,miss,random,536870912,8,1000000,0,1,0,0,8000000,89176386,27760384,8002892,314237,7989267,16000852,48050032,174554048,174554048,0,0,0,PASS,382993009,118981568,PASS
dmb_ish,after_group,miss,random,536870912,8,1000000,0,2,0,0,8000000,89172854,27748608,8002890,314759,7989181,16000855,48086440,321254208,321254208,0,0,0,PASS,382901048,118955136,PASS
dmb_ish,after_group,miss,random,536870912,8,1000000,0,3,0,0,8000000,89164636,27760672,8002727,314524,7989114,16000855,48010422,467939392,467939392,0,0,0,PASS,382968398,118982400,PASS
dmb_ish,after_group,miss,random,536870912,8,1000000,0,4,0,0,8000000,89146493,27734016,8002722,313678,7989240,16000845,47922300,614625376,614625376,0,0,0,PASS,383001584,119021952,PASS
dmb_ish,after_group,miss,random,536870912,8,1000000,0,5,0,0,8000000,89162042,27753856,8002796,315753,7989346,16000863,48139145,761369152,761369152,0,0,0,PASS,382756461,118961216,PASS
dmb_ish,after_group,miss,random,536870912,8,1000000,0,6,0,0,8000000,89106779,27732672,8002816,316135,7989227,16000867,48090656,907992608,907992608,0,0,0,PASS,382731798,118909920,PASS
dmb_ish,after_group,miss,random,536870912,8,1000000,0,7,0,0,8000000,89087594,27727648,8002762,316232,7989248,16000850,48061833,1054590784,1054590784,0,0,0,PASS,382744166,118899200,PASS
dmb_ish,after_group,miss,random,536870912,8,1000000,0,8,0,0,8000000,89072959,27731040,8002761,315601,7989247,16000877,47962195,1201188640,1201188640,0,0,0,PASS,382774918,118914304,PASS
dmb_ish,after_group,miss,random,536870912,8,1000000,0,9,0,0,8000000,89087109,27730560,8002646,315701,7989131,16000890,47984495,1347801504,1347801504,0,0,0,PASS,382813017,118921024,PASS
dmb_ish,after_group,miss,random,536870912,16,1000000,0,0,0,0,16000000,177023822,55109344,16005615,567529,15982800,32000858,92555316,55089440,55089440,0,0,0,PASS,681793554,211919104,PASS
dmb_ish,after_group,miss,random,536870912,16,1000000,0,1,0,0,16000000,176965457,55118528,16005656,568610,15979427,32000892,92626892,321984032,321984032,0,0,0,PASS,681645891,211767296,PASS
dmb_ish,after_group,miss,random,536870912,16,1000000,0,2,0,0,16000000,176921316,55043680,16005711,567034,15979010,32000861,92553690,588740544,588740544,0,0,0,PASS,681613313,211757728,PASS
dmb_ish,after_group,miss,random,536870912,16,1000000,0,3,0,0,16000000,176929928,55044224,16005691,566805,15979188,32000884,92551116,855499648,855499648,0,0,0,PASS,681855071,211844640,PASS
dmb_ish,after_group,miss,random,536870912,16,1000000,0,4,0,0,16000000,176901747,55065504,16005530,568366,15979183,32000907,92586066,1122337856,1122337856,0,0,0,PASS,681685108,211757408,PASS
dmb_ish,after_group,miss,random,536870912,16,1000000,0,5,0,0,16000000,176888220,55097472,16005728,569184,15979317,32000890,92637384,1389123520,1389123520,0,0,0,PASS,681407475,211726368,PASS
dmb_ish,after_group,miss,random,536870912,16,1000000,0,6,0,0,16000000,176906627,55043232,16005685,569141,15979053,32000863,92536609,1655842752,1655842752,0,0,0,PASS,681595164,211794336,PASS
dmb_ish,after_group,miss,random,536870912,16,1000000,0,7,0,0,16000000,176879425,55068448,16005776,567835,15978959,32000880,92470497,1922653984,1922653984,0,0,0,PASS,681448360,211861824,PASS
dmb_ish,after_group,miss,random,536870912,16,1000000,0,8,0,0,16000000,176782065,55018976,16005620,566317,15979290,32000869,92362492,2189394752,2189394752,0,0,0,PASS,681086762,211620384,PASS
dmb_ish,after_group,miss,random,536870912,16,1000000,0,9,0,0,16000000,176826965,54998688,16005750,570467,15978981,32000878,92635897,2455941952,2455941952,0,0,0,PASS,681127831,211626048,PASS
dmb_ish,after_group,miss,random,536870912,32,1000000,0,0,0,0,32000000,353566581,110035584,32009509,1104399,31961998,64001797,183979357,110013792,110013792,0,0,0,PASS,1149917944,357244288,PASS
dmb_ish,after_group,miss,random,536870912,32,1000000,0,1,0,0,32000000,353324099,109899424,32009551,1101832,31958304,64001813,183700286,577124512,577124512,0,0,0,PASS,1149084238,357065856,PASS
dmb_ish,after_group,miss,random,536870912,32,1000000,0,2,0,0,32000000,353267548,109951424,32009504,1101287,31958397,64001842,183755049,1044016480,1044016480,0,0,0,PASS,1148184324,356746496,PASS
dmb_ish,after_group,miss,random,536870912,32,1000000,0,3,0,0,32000000,353234563,109914016,32009501,1102683,31958633,64001789,183881688,1510567904,1510567904,0,0,0,PASS,1148358200,356925312,PASS
dmb_ish,after_group,miss,random,536870912,32,1000000,0,4,0,0,32000000,353213570,109910080,32009230,1104930,31958684,64001837,183983648,1977289312,1977289312,0,0,0,PASS,1148100889,356702784,PASS
