treatment,placement,condition,pattern,ws_bytes,stores,iters,repeats,base_cyc_iter,base_ns_iter,var_cyc_iter,var_ns_iter,incr_cyc_iter,incr_ns_iter,base_cyc_op,var_cyc_op,incr_cyc_op,base_l1_acc,base_l2_acc,base_ll_acc,base_mem_acc,base_stall_frac,base_mux,base_cs,base_mig,base_pf,base_pass,base_tot,treat_pass,treat_tot
dmb_ishst,after_group,l1,random,2048,1,1000000,10,5.86,1.83,6.08,1.90,0.22,0.07,5.8572,6.0792,0.2232,0.0000,0.0000,0.0000,3.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ishst,after_group,l1,random,2048,2,1000000,10,8.18,2.55,8.16,2.55,-0.01,-0.00,4.0885,4.0825,-0.0057,0.0000,0.0000,0.0000,2.5000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ishst,after_group,l1,random,2048,4,1000000,10,15.32,4.76,14.89,4.63,-0.42,-0.13,3.8295,3.7223,-0.1045,0.0000,0.0000,0.0000,2.2500,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ishst,after_group,l1,random,2048,8,1000000,10,29.40,9.14,28.71,8.92,-0.71,-0.22,3.6756,3.5884,-0.0883,0.0000,0.0000,0.0000,2.1250,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ishst,after_group,l1,random,2048,16,1000000,10,56.56,17.56,55.16,17.12,-1.40,-0.43,3.5350,3.4478,-0.0876,0.0000,0.0000,0.0000,2.0625,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ishst,after_group,l1,random,2048,32,1000000,10,110.89,34.40,108.43,33.64,-2.44,-0.76,3.4654,3.3886,-0.0762,0.0000,0.0000,0.0000,2.0313,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ishst,after_group,l1,random,2048,64,1000000,10,219.53,68.08,215.03,66.69,-4.49,-1.39,3.4302,3.3598,-0.0701,0.0000,0.0000,0.0000,2.0156,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ishst,after_group,l2,random,524288,1,1000000,10,14.60,4.55,14.73,4.59,0.11,0.03,14.6042,14.7349,0.1072,1.8874,0.1555,0.1718,3.0001,0.5326,1.0000,0,0,0,10,10,10,10
dmb_ishst,after_group,l2,random,524288,2,1000000,10,21.45,6.67,21.59,6.72,0.19,0.06,10.7242,10.7953,0.0941,1.3521,0.1700,0.2851,2.5000,0.5818,1.0000,0,0,0,10,10,10,10
dmb_ishst,after_group,l2,random,524288,4,1000000,10,22.85,7.11,23.93,7.45,1.04,0.32,5.7135,5.9837,0.2591,1.0761,0.0438,0.0860,2.2503,0.3309,1.0000,0,0,0,10,10,10,10
dmb_ishst,after_group,l2,random,524288,8,1000000,10,39.47,12.28,39.86,12.39,0.40,0.12,4.9339,4.9824,0.0497,0.9283,0.0250,0.0716,2.1254,0.2584,1.0000,0,0,0,10,10,10,10
dmb_ishst,after_group,l2,random,524288,16,1000000,10,74.36,23.09,75.29,23.38,0.94,0.29,4.6477,4.7053,0.0585,0.8549,0.0362,0.1062,2.0627,0.2695,1.0000,0,0,0,10,10,10,10
dmb_ishst,after_group,l2,random,524288,32,1000000,10,122.09,37.90,120.07,37.27,-1.87,-0.58,3.8154,3.7522,-0.0586,0.8159,0.0034,0.0167,2.0316,0.0807,1.0000,0,0,0,10,10,10,10
dmb_ishst,after_group,l2,random,524288,64,1000000,10,228.34,70.88,227.18,70.53,-1.15,-0.33,3.5679,3.5496,-0.0179,0.7972,0.0018,0.0086,2.0160,0.0459,1.0000,0,0,0,10,10,10,10
dmb_ishst,after_group,l3,random,8388608,1,1000000,10,23.88,7.43,24.86,7.74,0.94,0.29,23.8792,24.8617,0.9407,1.9921,0.9669,1.9251,3.0001,0.8051,1.0000,0,0,0,10,10,10,10
dmb_ishst,after_group,l3,random,8388608,2,1000000,10,27.98,8.71,30.88,9.61,2.94,0.91,13.9922,15.4419,1.4700,1.4894,0.6380,1.4076,2.5001,0.7289,1.0000,0,0,0,10,10,10,10
dmb_ishst,after_group,l3,random,8388608,4,1000000,10,32.71,10.17,49.14,15.27,16.41,5.09,8.1779,12.2844,4.1016,1.2378,0.4127,1.1311,2.2500,0.5957,1.0000,0,0,0,10,10,10,10
dmb_ishst,after_group,l3,random,8388608,8,1000000,10,59.35,18.46,86.06,26.74,26.75,8.29,7.4185,10.7576,3.3438,1.1113,0.4107,0.9935,2.1250,0.5538,1.0000,0,0,0,10,10,10,10
dmb_ishst,after_group,l3,random,8388608,16,1000000,10,118.82,36.92,158.83,49.31,40.18,12.47,7.4263,9.9267,2.5113,1.0480,0.4356,0.9170,2.0625,0.5584,1.0000,0,0,0,10,10,10,10
dmb_ishst,after_group,l3,random,8388608,32,1000000,10,216.78,67.30,234.25,72.74,17.57,5.43,6.7744,7.3202,0.5490,1.0163,0.3584,0.8657,2.0314,0.5286,1.0000,0,0,0,10,10,10,10
