treatment,placement,condition,pattern,ws_bytes,stores,iters,warmup,repeat,core,numa_bind,n_access,base_cyc,base_ns,base_l1,base_l2,base_ll,base_mem,base_stall,base_enabled,base_running,base_cs,base_mig,base_pf,base_gate,treat_cyc,treat_ns,treat_gate
dmb_st,after_group,l1,random,2048,1,1000000,200000,0,0,0,1000000,5819881,1825760,74,12,42,3000051,387,1816992,1816992,0,0,0,PASS,6079601,1904000,PASS
dmb_st,after_group,l1,random,2048,1,1000000,200000,1,0,0,1000000,5899201,1843968,27,0,1,3000056,0,5550016,5550016,0,0,0,PASS,6079075,1899328,PASS
dmb_st,after_group,l1,random,2048,1,1000000,200000,2,0,0,1000000,5866985,1833920,11,0,0,3000045,0,9269152,9269152,0,0,0,PASS,6075774,1899488,PASS
dmb_st,after_group,l1,random,2048,1,1000000,200000,3,0,0,1000000,5846733,1827328,16,0,0,3000028,0,12981728,12981728,0,0,0,PASS,6075840,1907232,PASS
dmb_st,after_group,l1,random,2048,1,1000000,200000,4,0,0,1000000,5881141,1837984,11,0,2,3000036,0,16712896,16712896,0,0,0,PASS,6078579,1911328,PASS
dmb_st,after_group,l1,random,2048,1,1000000,200000,5,0,0,1000000,5868783,1834080,18,0,2,3000061,0,20444256,20444256,0,0,0,PASS,6080477,1899296,PASS
dmb_st,after_group,l1,random,2048,1,1000000,200000,6,0,0,1000000,5859853,1831232,21,0,0,3000045,0,24160896,24160896,0,0,0,PASS,6077789,1898336,PASS
dmb_st,after_group,l1,random,2048,1,1000000,200000,7,0,0,1000000,5844631,1824896,5,0,0,3000036,0,27870240,27870240,0,0,0,PASS,6081010,1899648,PASS
dmb_st,after_group,l1,random,2048,1,1000000,200000,8,0,0,1000000,5936122,1855392,13,0,0,3000047,0,31611488,31611488,0,0,0,PASS,6079352,1898752,PASS
dmb_st,after_group,l1,random,2048,1,1000000,200000,9,0,0,1000000,5850591,1828608,11,0,0,3000050,0,35324768,35324768,0,0,0,PASS,6078839,1898592,PASS
