treatment,placement,condition,pattern,ws_bytes,stores,iters,repeats,base_cyc_iter,base_ns_iter,var_cyc_iter,var_ns_iter,incr_cyc_iter,incr_ns_iter,base_cyc_op,var_cyc_op,incr_cyc_op,base_l1_acc,base_l2_acc,base_ll_acc,base_mem_acc,base_stall_frac,base_mux,base_cs,base_mig,base_pf,base_pass,base_tot,treat_pass,treat_tot
dmb_st,after_group,l1,random,2048,1,1000000,10,5.87,1.83,6.08,1.90,0.22,0.07,5.8670,6.0791,0.2179,0.0000,0.0000,0.0000,3.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,l1,random,2048,2,1000000,10,8.19,2.56,8.16,2.55,-0.03,-0.01,4.0961,4.0796,-0.0162,0.0000,0.0000,0.0000,2.5000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,l1,random,2048,4,1000000,10,15.30,4.77,14.89,4.63,-0.42,-0.13,3.8255,3.7219,-0.1054,0.0000,0.0000,0.0000,2.2500,0.0000,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,l1,random,2048,8,1000000,10,29.36,9.12,28.65,8.90,-0.69,-0.21,3.6698,3.5810,-0.0862,0.0000,0.0000,0.0000,2.1250,0.0000,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,l1,random,2048,16,1000000,10,56.02,17.40,55.21,17.14,-0.81,-0.25,3.5014,3.4503,-0.0509,0.0000,0.0000,0.0000,2.0625,0.0000,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,l1,random,2048,32,1000000,10,110.95,34.43,108.53,33.68,-2.39,-0.76,3.4673,3.3916,-0.0748,0.0000,0.0000,0.0000,2.0313,0.0000,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,l1,random,2048,64,1000000,10,219.60,68.14,215.04,66.71,-4.58,-1.44,3.4312,3.3600,-0.0715,0.0000,0.0000,0.0000,2.0156,0.0000,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,l2,random,524288,1,1000000,10,17.58,5.47,17.79,5.54,0.16,0.05,17.5846,17.7941,0.1606,1.8873,0.2421,0.3112,3.0001,0.6312,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,l2,random,524288,2,1000000,10,24.30,7.56,24.55,7.63,0.28,0.10,12.1524,12.2754,0.1398,1.3520,0.2397,0.3999,2.5000,0.6360,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,l2,random,524288,4,1000000,10,28.08,8.74,29.59,9.20,1.53,0.47,7.0203,7.3987,0.3834,1.0760,0.0959,0.2058,2.2500,0.4744,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,l2,random,524288,8,1000000,10,40.21,12.50,45.15,14.03,4.94,1.53,5.0265,5.6438,0.6173,0.9280,0.0826,0.1424,2.1250,0.3351,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,l2,random,524288,16,1000000,10,66.14,20.54,66.06,20.52,-0.06,-0.01,4.1336,4.1287,-0.0040,0.8550,0.0092,0.0351,2.0629,0.1431,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,l2,random,524288,32,1000000,10,120.13,37.31,118.24,36.72,-1.77,-0.55,3.7542,3.6949,-0.0553,0.8159,0.0028,0.0115,2.0316,0.0658,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,l2,random,524288,64,1000000,10,231.57,71.91,227.54,70.63,-3.91,-1.22,3.6182,3.5554,-0.0611,0.7972,0.0017,0.0086,2.0160,0.0452,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,l3,random,8388608,1,1000000,10,23.96,7.46,24.79,7.72,0.94,0.29,23.9597,24.7880,0.9409,1.9922,0.9679,1.9247,3.0001,0.8058,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,l3,random,8388608,2,1000000,10,27.03,8.41,30.23,9.40,3.23,0.99,13.5135,15.1130,1.6126,1.4894,0.6198,1.4001,2.5001,0.7219,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,l3,random,8388608,4,1000000,10,32.71,10.18,48.65,15.12,15.99,4.96,8.1768,12.1627,3.9982,1.2378,0.4123,1.1293,2.2500,0.5947,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,l3,random,8388608,8,1000000,10,60.16,18.70,86.04,26.74,25.95,8.06,7.5195,10.7545,3.2438,1.1113,0.4156,0.9940,2.1250,0.5619,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,l3,random,8388608,16,1000000,10,119.64,37.17,159.79,49.62,40.07,12.43,7.4777,9.9870,2.5045,1.0480,0.4416,0.9170,2.0626,0.5611,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,l3,random,8388608,32,1000000,10,216.33,67.18,232.75,72.29,16.33,5.09,6.7604,7.2734,0.5102,1.0164,0.3571,0.8646,2.0313,0.5278,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,l3,random,8388608,64,1000000,10,357.18,110.93,388.10,120.53,31.28,9.66,5.5809,6.0640,0.4887,1.0002,0.3070,0.8268,2.0156,0.4357,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,dram,random,536870912,1,1000000,10,303.57,94.37,304.88,94.83,-0.84,-0.26,303.5734,304.8832,-0.8405,1.9999,2.3458,5.3432,3.0007,0.9354,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,dram,random,536870912,2,1000000,10,466.68,145.09,467.33,145.29,0.65,0.23,233.3423,233.6664,0.3241,1.4998,1.5773,2.3608,2.5006,0.9659,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,dram,random,536870912,4,1000000,10,648.73,201.66,648.88,201.69,0.25,0.03,162.1836,162.2189,0.0619,1.2499,1.5259,3.2517,2.2504,0.9600,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,dram,random,536870912,8,1000000,10,689.31,214.25,691.11,214.83,0.94,0.26,86.1634,86.3883,0.1172,1.1256,1.2322,1.6344,2.1252,0.9509,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,dram,random,536870912,16,1000000,10,763.14,237.18,761.82,236.85,-2.09,-0.64,47.6963,47.6138,-0.1307,1.0624,0.9964,1.3268,2.0627,0.9199,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,dram,random,536870912,32,1000000,10,867.11,269.52,867.84,269.73,0.46,0.11,27.0971,27.1200,0.0145,1.0312,0.5207,1.0778,2.0313,0.8691,1.0000,0,0,0,10,10,10,10
dmb_st,after_group,dram,random,536870912,64,1000000,10,1080.72,335.94,1163.68,361.73,83.24,25.86,16.8863,18.1825,1.3006,1.0156,0.2437,1.0234,2.0157,0.7871,1.0000,0,0,0,10,10,10,10
dmb_st,after_every,l1,random,2048,1,1000000,10,5.91,1.85,6.08,1.90,0.17,0.05,5.9109,6.0795,0.1736,0.0001,0.0000,0.0000,3.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_st,after_every,l1,random,2048,2,1000000,10,8.19,2.56,12.09,3.76,3.90,1.21,4.0926,6.0427,1.9503,0.0000,0.0000,0.0000,2.5000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_st,after_every,l1,random,2048,4,1000000,10,14.83,4.61,24.09,7.48,9.26,2.87,3.7078,6.0219,2.3147,0.0000,0.0000,0.0000,2.2500,0.0000,1.0000,0,0,0,10,10,10,10
dmb_st,after_every,l1,random,2048,8,1000000,10,28.70,8.92,48.08,14.93,19.38,6.01,3.5875,6.0098,2.4225,0.0000,0.0000,0.0000,2.1250,0.0000,1.0000,0,0,0,10,10,10,10
dmb_st,after_every,l1,random,2048,16,1000000,10,57.36,17.81,97.31,30.20,39.96,12.39,3.5850,6.0818,2.4977,0.0000,0.0000,0.0000,2.0625,0.0000,1.0000,0,0,0,10,10,10,10
dmb_st,after_every,l1,random,2048,32,1000000,10,113.10,35.09,194.57,60.37,81.47,25.28,3.5344,6.0803,2.5460,0.0000,0.0000,0.0000,2.0313,0.0000,1.0000,0,0,0,10,10,10,10
dmb_st,after_every,l1,random,2048,64,1000000,10,222.81,69.12,384.08,119.12,161.29,50.01,3.4814,6.0013,2.5202,0.0000,0.0000,0.0000,2.0156,0.0000,1.0000,0,0,0,10,10,10,10
dmb_st,after_every,l2,random,524288,1,1000000,10,25.03,7.78,25.16,7.83,0.15,0.03,25.0326,25.1646,0.1457,1.8871,0.4668,0.8642,3.0001,0.7439,1.0000,0,0,0,10,10,10,10
dmb_st,after_every,l2,random,524288,2,1000000,10,17.72,5.53,18.78,5.85,1.04,0.32,8.8597,9.3914,0.5190,1.3523,0.0857,0.1155,2.5002,0.4418,1.0000,0,0,0,10,10,10,10
dmb_st,after_every,l2,random,524288,4,1000000,10,25.28,7.86,31.69,9.85,6.64,2.07,6.3210,7.9213,1.6611,1.0761,0.0662,0.1306,2.2502,0.4007,1.0000,0,0,0,10,10,10,10
dmb_st,after_every,l2,random,524288,8,1000000,10,40.61,12.62,60.64,18.84,20.06,6.22,5.0760,7.5802,2.5078,0.9281,0.0752,0.1349,2.1250,0.3363,1.0000,0,0,0,10,10,10,10
