treatment,placement,condition,pattern,ws_bytes,stores,iters,repeats,base_cyc_iter,base_ns_iter,var_cyc_iter,var_ns_iter,incr_cyc_iter,incr_ns_iter,base_cyc_op,var_cyc_op,incr_cyc_op,base_l1_acc,base_l2_acc,base_ll_acc,base_mem_acc,base_stall_frac,base_mux,base_cs,base_mig,base_pf,base_pass,base_tot,treat_pass,treat_tot
dmb_sy,after_group,miss,random,536870912,1,1000000,10,7.66,2.40,43.88,13.65,36.21,11.25,7.6640,43.8777,36.2136,1.0001,0.2712,0.9987,2.0000,0.4233,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,miss,random,536870912,2,1000000,10,19.03,5.94,97.27,30.23,78.24,24.29,9.5151,48.6365,39.1214,1.0001,0.1590,0.9987,2.0000,0.5705,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,miss,random,536870912,4,1000000,10,44.36,13.82,197.70,61.43,153.33,47.61,11.0902,49.4244,38.3333,1.0004,0.0484,0.9987,2.0001,0.5603,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,miss,random,536870912,8,1000000,10,88.73,27.62,371.09,115.32,282.36,87.69,11.0914,46.3868,35.2946,1.0004,0.0367,0.9987,2.0001,0.5268,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,miss,random,536870912,16,1000000,10,176.57,54.97,681.95,211.89,505.29,156.92,11.0358,42.6216,31.5807,1.0003,0.0346,0.9990,2.0001,0.5169,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,miss,random,536870912,32,1000000,10,353.39,109.94,1160.43,360.63,806.31,250.50,11.0436,36.2634,25.1973,1.0003,0.0346,0.9987,2.0001,0.5208,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,miss,random,536870912,64,1000000,10,703.91,218.95,1518.71,472.02,814.83,253.10,10.9985,23.7299,12.7318,0.9999,0.0315,0.9987,2.0001,0.5039,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,hit,random,2048,1,1000000,10,3.87,1.21,13.79,4.29,9.94,3.09,3.8660,13.7881,9.9430,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,hit,random,2048,2,1000000,10,6.79,2.12,15.81,4.92,9.04,2.80,3.3956,7.9045,4.5186,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,hit,random,2048,4,1000000,10,12.15,3.78,20.02,6.22,7.88,2.45,3.0368,5.0061,1.9709,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,hit,random,2048,8,1000000,10,24.51,7.62,26.13,8.12,1.63,0.50,3.0641,3.2668,0.2039,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,hit,random,2048,16,1000000,10,51.02,15.84,51.48,15.98,0.48,0.15,3.1889,3.2172,0.0302,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,hit,random,2048,32,1000000,10,105.58,32.76,105.03,32.59,-0.56,-0.17,3.2993,3.2821,-0.0176,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,hit,random,2048,64,1000000,10,203.46,63.14,207.68,64.43,4.31,1.32,3.1791,3.2450,0.0674,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_sy,after_every,miss,random,536870912,1,1000000,10,8.47,2.66,48.93,15.22,40.46,12.56,8.4724,48.9315,40.4590,1.0002,0.2429,0.9986,2.0000,0.4695,1.0000,0,0,0,10,10,10,10
dmb_sy,after_every,miss,random,536870912,2,1000000,10,19.26,6.01,106.94,33.23,87.67,27.22,9.6319,53.4680,43.8362,1.0001,0.1505,0.9987,2.0000,0.5723,1.0000,0,0,0,10,10,10,10
