condition,ws_bytes,stores,cyc_op,l1d_refill_op,l1d_refill_wr_op,l1d_lmiss_rd_op,l2d_lmiss_rd_op,l3d_lmiss_rd_op,mux
l1,2048,1,5.7018,0.0001,0.0000,0.0000,0.0000,0.0000,1.0000
l2,524288,1,17.1190,1.8928,0.8968,0.9959,0.2495,0.3218,1.0000
l3,8388608,1,24.0489,1.9924,0.9923,1.0001,0.9117,1.9281,1.0000
dram,536870912,1,627.8264,1.9996,0.9998,0.9998,2.2277,3.0005,1.0000
l1,2048,8,3.5471,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
l2,524288,8,4.9516,0.9292,0.8042,0.1250,0.0662,0.1686,1.0000
l3,8388608,8,8.9963,1.1118,0.9868,0.1251,0.3242,0.9944,1.0000
dram,536870912,8,84.8966,1.1247,0.9997,0.1250,1.2175,1.5580,1.0000
l1,2048,64,3.5278,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
l2,524288,64,3.8469,0.7969,0.7812,0.0156,0.0240,0.0333,1.0000
l3,8388608,64,6.1395,1.0001,0.9845,0.0156,0.3028,0.8263,1.0000
dram,536870912,64,16.8136,1.0154,0.9998,0.0156,0.2389,1.0250,1.0000
