condition,N,treatment,placement,repeat,iters,n_access,base_cyc,base_ns,base_cyc_iter,base_ns_iter,base_cyc_op,base_gate
hit,1,dmb_ish,after_every,0,1000000,1000000,4012889,1305856,4.013,1.306,4.0129,PASS
hit,1,dmb_ish,after_every,1,1000000,1000000,3842314,1205664,3.842,1.206,3.8423,PASS
hit,1,dmb_ish,after_every,2,1000000,1000000,3943869,1240320,3.944,1.240,3.9439,PASS
hit,1,dmb_ish,after_every,3,1000000,1000000,3927537,1231264,3.928,1.231,3.9275,PASS
hit,1,dmb_ish,after_every,4,1000000,1000000,3853614,1208288,3.854,1.208,3.8536,PASS
hit,1,dmb_ish,after_every,5,1000000,1000000,3880235,1216416,3.880,1.216,3.8802,PASS
hit,1,dmb_ish,after_every,6,1000000,1000000,3832479,1201504,3.832,1.202,3.8325,PASS
hit,1,dmb_ish,after_every,7,1000000,1000000,3942859,1237152,3.943,1.237,3.9429,PASS
hit,1,dmb_ish,after_every,8,1000000,1000000,3862830,1211040,3.863,1.211,3.8628,PASS
hit,1,dmb_ish,after_every,9,1000000,1000000,3928769,1244768,3.929,1.245,3.9288,PASS
hit,1,dmb_ish,after_group,0,1000000,1000000,3859262,1246240,3.859,1.246,3.8593,PASS
hit,1,dmb_ish,after_group,1,1000000,1000000,3919467,1233408,3.919,1.233,3.9195,PASS
hit,1,dmb_ish,after_group,2,1000000,1000000,3864488,1212032,3.864,1.212,3.8645,PASS
hit,1,dmb_ish,after_group,3,1000000,1000000,3780572,1186432,3.781,1.186,3.7806,PASS
hit,1,dmb_ish,after_group,4,1000000,1000000,3867663,1213120,3.868,1.213,3.8677,PASS
hit,1,dmb_ish,after_group,5,1000000,1000000,3779476,1187552,3.779,1.188,3.7795,PASS
hit,1,dmb_ish,after_group,6,1000000,1000000,3863555,1210880,3.864,1.211,3.8636,PASS
hit,1,dmb_ish,after_group,7,1000000,1000000,3954509,1240480,3.955,1.240,3.9545,PASS
hit,1,dmb_ish,after_group,8,1000000,1000000,3830788,1201344,3.831,1.201,3.8308,PASS
hit,1,dmb_ish,after_group,9,1000000,1000000,3779002,1187264,3.779,1.187,3.7790,PASS
