treatment,placement,condition,pattern,ws_bytes,stores,iters,warmup,repeat,core,numa_bind,n_access,base_cyc,base_ns,base_l1,base_l2,base_ll,base_mem,base_stall,base_enabled,base_running,base_cs,base_mig,base_pf,base_gate,treat_cyc,treat_ns,treat_gate
stlr,after_group,l1,random,2048,1,1000000,200000,0,0,0,1000000,5920820,1855488,61,14,40,3000039,368,1845888,1845888,0,0,0,PASS,5570430,1743200,PASS
stlr,after_group,l1,random,2048,1,1000000,200000,1,0,0,1000000,5923627,1851456,9,0,0,3000043,0,5425920,5425920,0,0,0,PASS,5613433,1755104,PASS
stlr,after_group,l1,random,2048,1,1000000,200000,2,0,0,1000000,5924109,1850688,5,0,0,3000040,0,9016864,9016864,0,0,0,PASS,5653847,1765472,PASS
stlr,after_group,l1,random,2048,1,1000000,200000,3,0,0,1000000,5959214,1872768,23,0,0,3000047,0,12640992,12640992,0,0,0,PASS,5518593,1725632,PASS
stlr,after_group,l1,random,2048,1,1000000,200000,4,0,0,1000000,5897298,1842176,5,0,0,3000040,0,16194784,16194784,0,0,0,PASS,5524404,1727552,PASS
stlr,after_group,l1,random,2048,1,1000000,200000,5,0,0,1000000,5898777,1841952,6,0,0,3000024,0,19749952,19749952,0,0,0,PASS,5560551,1739936,PASS
stlr,after_group,l1,random,2048,1,1000000,200000,6,0,0,1000000,5962867,1863552,4,0,0,3000049,0,23339424,23339424,0,0,0,PASS,5672721,1773088,PASS
stlr,after_group,l1,random,2048,1,1000000,200000,7,0,0,1000000,5898951,1842432,4,0,0,3000038,0,26941216,26941216,0,0,0,PASS,5515874,1723168,PASS
stlr,after_group,l1,random,2048,1,1000000,200000,8,0,0,1000000,5967664,1865056,5,0,0,3000047,0,30515264,30515264,0,0,0,PASS,5535517,1731392,PASS
stlr,after_group,l1,random,2048,1,1000000,200000,9,0,0,1000000,5945575,1857728,6,0,0,3000048,0,34090624,34090624,0,0,0,PASS,5542043,1731552,PASS
stlr,after_group,l1,random,2048,2,1000000,200000,0,0,0,2000000,7808012,2457152,93,30,61,5000071,851,2445952,2445952,0,0,0,PASS,8137240,2548704,PASS
stlr,after_group,l1,random,2048,2,1000000,200000,1,0,0,2000000,7797768,2433792,32,1,2,5000046,8,7411872,7411872,0,0,0,PASS,8121579,2549024,PASS
stlr,after_group,l1,random,2048,2,1000000,200000,2,0,0,2000000,7827452,2443392,35,0,0,5000102,0,12382432,12382432,0,0,0,PASS,7978275,2489824,PASS
stlr,after_group,l1,random,2048,2,1000000,200000,3,0,0,2000000,7791204,2440576,44,0,0,5000043,0,17298720,17298720,0,0,0,PASS,8087547,2526112,PASS
stlr,after_group,l1,random,2048,2,1000000,200000,4,0,0,2000000,7785288,2438432,26,0,0,5000044,0,22249376,22249376,0,0,0,PASS,8036818,2509376,PASS
stlr,after_group,l1,random,2048,2,1000000,200000,5,0,0,2000000,7781033,2426720,27,0,2,5000058,0,27171648,27171648,0,0,0,PASS,7987836,2491584,PASS
stlr,after_group,l1,random,2048,2,1000000,200000,6,0,0,2000000,7782019,2426848,26,0,0,5000065,0,32076224,32076224,0,0,0,PASS,8071432,2516928,PASS
stlr,after_group,l1,random,2048,2,1000000,200000,7,0,0,2000000,7798082,2431360,24,0,0,5000046,0,37010752,37010752,0,0,0,PASS,8036990,2505344,PASS
stlr,after_group,l1,random,2048,2,1000000,200000,8,0,0,2000000,7817320,2439808,26,0,0,5000075,0,41941920,41941920,0,0,0,PASS,8013130,2498048,PASS
stlr,after_group,l1,random,2048,2,1000000,200000,9,0,0,2000000,7629048,2380000,20,0,0,5000056,0,46805792,46805792,0,0,0,PASS,8005924,2496512,PASS
stlr,after_group,l1,random,2048,4,1000000,200000,0,0,0,4000000,14282823,4455168,69,50,60,9000119,3078,4444032,4444032,0,0,0,PASS,14407532,4482752,PASS
stlr,after_group,l1,random,2048,4,1000000,200000,1,0,0,4000000,14212841,4444352,67,3,5,9000100,162,13350016,13350016,0,0,0,PASS,14421558,4494688,PASS
stlr,after_group,l1,random,2048,4,1000000,200000,2,0,0,4000000,14236186,4432800,25,0,0,9000105,0,22262816,22262816,0,0,0,PASS,14398168,4479552,PASS
stlr,after_group,l1,random,2048,4,1000000,200000,3,0,0,4000000,14242677,4459520,36,0,8,9000158,0,31163136,31163136,0,0,0,PASS,14448358,4494592,PASS
stlr,after_group,l1,random,2048,4,1000000,200000,4,0,0,4000000,14244139,4431744,21,0,0,9000085,0,40075552,40075552,0,0,0,PASS,14358457,4467840,PASS
stlr,after_group,l1,random,2048,4,1000000,200000,5,0,0,4000000,14213021,4419168,16,0,0,9000079,0,48948576,48948576,0,0,0,PASS,14426542,4498048,PASS
stlr,after_group,l1,random,2048,4,1000000,200000,6,0,0,4000000,14257875,4435168,19,0,0,9000071,0,57867808,57867808,0,0,0,PASS,14418009,4485536,PASS
stlr,after_group,l1,random,2048,4,1000000,200000,7,0,0,4000000,14223777,4424608,13,0,0,9000081,0,66764064,66764064,0,0,0,PASS,14439962,4492288,PASS
stlr,after_group,l1,random,2048,4,1000000,200000,8,0,0,4000000,14252891,4433056,14,0,0,9000088,0,75675104,75675104,0,0,0,PASS,14427367,4488960,PASS
stlr,after_group,l1,random,2048,4,1000000,200000,9,0,0,4000000,14264360,4437728,19,0,0,9000089,0,84587712,84587712,0,0,0,PASS,14357650,4467584,PASS
stlr,after_group,l1,random,2048,8,1000000,200000,0,0,0,8000000,27020285,8437408,133,34,61,17000221,869,8418112,8418112,0,0,0,PASS,27586150,8582592,PASS
stlr,after_group,l1,random,2048,8,1000000,200000,1,0,0,8000000,27067293,8414336,37,1,4,17000189,156,25398944,25398944,0,0,0,PASS,27474601,8535744,PASS
stlr,after_group,l1,random,2048,8,1000000,200000,2,0,0,8000000,27143286,8435424,20,0,0,17000187,0,42355840,42355840,0,0,0,PASS,27697808,8602464,PASS
stlr,after_group,l1,random,2048,8,1000000,200000,3,0,0,8000000,27112067,8452928,38,0,2,17000147,0,59383200,59383200,0,0,0,PASS,27683300,8598944,PASS
