treatment,placement,condition,pattern,ws_bytes,stores,iters,repeats,base_cyc_iter,base_ns_iter,var_cyc_iter,var_ns_iter,incr_cyc_iter,incr_ns_iter,base_cyc_op,var_cyc_op,incr_cyc_op,base_l1_acc,base_l2_acc,base_ll_acc,base_mem_acc,base_stall_frac,base_mux,base_cs,base_mig,base_pf,base_pass,base_tot,treat_pass,treat_tot
stlr,after_group,l1,random,2048,1,1000000,10,5.92,1.86,5.56,1.74,-0.35,-0.11,5.9241,5.5606,-0.3504,0.0000,0.0000,0.0000,3.0000,0.0000,1.0000,0,0,0,10,10,10,10
stlr,after_group,l1,random,2048,2,1000000,10,7.80,2.44,8.04,2.51,0.29,0.09,3.8989,4.0185,0.1447,0.0000,0.0000,0.0000,2.5000,0.0000,1.0000,0,0,0,10,10,10,10
stlr,after_group,l1,random,2048,4,1000000,10,14.24,4.44,14.42,4.49,0.17,0.05,3.5610,3.6054,0.0436,0.0000,0.0000,0.0000,2.2500,0.0000,1.0000,0,0,0,10,10,10,10
stlr,after_group,l1,random,2048,8,1000000,10,27.11,8.42,27.68,8.60,0.57,0.17,3.3884,3.4604,0.0711,0.0000,0.0000,0.0000,2.1250,0.0000,1.0000,0,0,0,10,10,10,10
stlr,after_group,l1,random,2048,16,1000000,10,52.77,16.38,52.93,16.43,0.19,0.06,3.2982,3.3084,0.0121,0.0000,0.0000,0.0000,2.0625,0.0000,1.0000,0,0,0,10,10,10,10
stlr,after_group,l1,random,2048,32,1000000,10,104.17,32.32,104.10,32.30,-0.03,-0.02,3.2552,3.2531,-0.0011,0.0000,0.0000,0.0000,2.0313,0.0000,1.0000,0,0,0,10,10,10,10
stlr,after_group,l1,random,2048,64,1000000,10,207.07,64.24,206.07,63.92,-1.00,-0.32,3.2354,3.2199,-0.0156,0.0000,0.0000,0.0000,2.0156,0.0000,1.0000,0,0,0,10,10,10,10
stlr,after_group,l2,random,524288,1,1000000,10,21.87,6.80,21.69,6.75,-0.22,-0.07,21.8665,21.6927,-0.2222,1.8873,0.3251,0.5180,3.0001,0.6890,1.0000,0,0,0,10,10,10,10
stlr,after_group,l2,random,524288,2,1000000,10,24.88,7.74,25.15,7.82,0.38,0.11,12.4384,12.5738,0.1904,1.3524,0.1386,0.3226,2.5000,0.6129,1.0000,0,0,0,10,10,10,10
stlr,after_group,l2,random,524288,4,1000000,10,24.13,7.51,24.30,7.58,0.13,0.04,6.0313,6.0757,0.0332,1.0760,0.0851,0.1369,2.2500,0.4901,1.0000,0,0,0,10,10,10,10
stlr,after_group,l2,random,524288,8,1000000,10,40.93,12.72,41.67,12.95,0.75,0.23,5.1159,5.2093,0.0940,0.9283,0.0335,0.1056,2.1252,0.3760,1.0000,0,0,0,10,10,10,10
stlr,after_group,l2,random,524288,16,1000000,10,67.00,20.81,68.80,21.37,1.82,0.57,4.1876,4.3003,0.1138,0.8549,0.0135,0.0534,2.0629,0.2331,1.0000,0,0,0,10,10,10,10
stlr,after_group,l2,random,524288,32,1000000,10,121.26,37.64,122.80,38.12,1.58,0.48,3.7894,3.8376,0.0493,0.8159,0.0078,0.0369,2.0317,0.1580,1.0000,0,0,0,10,10,10,10
stlr,after_group,l2,random,524288,64,1000000,10,219.98,68.31,220.75,68.52,0.90,0.25,3.4371,3.4493,0.0141,0.7971,0.0024,0.0093,2.0160,0.0618,1.0000,0,0,0,10,10,10,10
stlr,after_group,l3,random,8388608,1,1000000,10,25.15,7.83,25.16,7.83,0.06,0.02,25.1518,25.1639,0.0600,1.9924,0.9786,1.9311,3.0001,0.8097,1.0000,0,0,0,10,10,10,10
stlr,after_group,l3,random,8388608,2,1000000,10,27.08,8.43,27.72,8.62,0.69,0.21,13.5390,13.8620,0.3466,1.4894,0.6243,1.3983,2.5001,0.7553,1.0000,0,0,0,10,10,10,10
stlr,after_group,l3,random,8388608,4,1000000,10,33.34,10.37,33.62,10.46,0.34,0.10,8.3347,8.4060,0.0840,1.2378,0.4148,1.1304,2.2500,0.6726,1.0000,0,0,0,10,10,10,10
stlr,after_group,l3,random,8388608,8,1000000,10,58.04,18.05,61.38,19.11,3.48,1.08,7.2553,7.6730,0.4356,1.1113,0.4087,0.9933,2.1250,0.6201,1.0000,0,0,0,10,10,10,10
stlr,after_group,l3,random,8388608,16,1000000,10,119.10,36.99,122.52,38.06,3.25,1.04,7.4437,7.6574,0.2029,1.0480,0.4381,0.9153,2.0625,0.6538,1.0000,0,0,0,10,10,10,10
stlr,after_group,l3,random,8388608,32,1000000,10,214.39,66.58,217.20,67.44,2.78,0.88,6.6998,6.7876,0.0870,1.0163,0.3605,0.8654,2.0313,0.6355,1.0000,0,0,0,10,10,10,10
stlr,after_group,l3,random,8388608,64,1000000,10,351.27,109.05,354.49,110.05,3.00,0.95,5.4886,5.5389,0.0468,1.0002,0.3055,0.8269,2.0157,0.5598,1.0000,0,0,0,10,10,10,10
stlr,after_group,dram,random,536870912,1,1000000,10,301.69,93.77,302.25,93.93,-1.09,-0.33,301.6931,302.2459,-1.0948,1.9998,2.1833,3.9871,3.0007,0.9413,1.0000,0,0,0,10,10,10,10
stlr,after_group,dram,random,536870912,2,1000000,10,482.35,149.98,483.49,150.26,0.40,0.10,241.1763,241.7426,0.1996,1.5056,1.7643,3.8049,2.5006,0.9621,1.0000,0,0,0,10,10,10,10
stlr,after_group,dram,random,536870912,4,1000000,10,610.57,189.77,608.31,189.17,-1.00,-0.27,152.6436,152.0768,-0.2509,1.2499,1.3380,1.8291,2.2504,0.9718,1.0000,0,0,0,10,10,10,10
stlr,after_group,dram,random,536870912,8,1000000,10,693.82,215.70,701.63,218.11,7.23,2.22,86.7271,87.7040,0.9032,1.1254,1.2875,2.0872,2.1253,0.9540,1.0000,0,0,0,10,10,10,10
stlr,after_group,dram,random,536870912,16,1000000,10,759.64,236.11,762.67,237.07,2.61,0.84,47.4774,47.6668,0.1632,1.0624,0.9943,1.3087,2.0627,0.9342,1.0000,0,0,0,10,10,10,10
stlr,after_group,dram,random,536870912,32,1000000,10,855.85,265.95,858.60,266.84,2.51,0.76,26.7454,26.8311,0.0783,1.0311,0.5168,1.0728,2.0314,0.8962,1.0000,0,0,0,10,10,10,10
stlr,after_group,dram,random,536870912,64,1000000,10,1080.52,335.91,1097.02,341.10,16.77,5.20,16.8831,17.1409,0.2620,1.0156,0.2448,1.0249,2.0157,0.8315,1.0000,0,0,0,10,10,10,10
stlr,after_every,l1,random,2048,1,1000000,10,5.58,1.75,5.59,1.75,0.00,-0.00,5.5836,5.5911,0.0001,0.0000,0.0000,0.0000,3.0000,0.0000,1.0000,0,0,0,10,10,10,10
stlr,after_every,l1,random,2048,2,1000000,10,7.75,2.42,7.75,2.42,-0.01,-0.00,3.8756,3.8770,-0.0037,0.0000,0.0000,0.0000,2.5000,0.0000,1.0000,0,0,0,10,10,10,10
stlr,after_every,l1,random,2048,4,1000000,10,13.94,4.34,13.93,4.33,0.00,-0.00,3.4853,3.4827,0.0006,0.0000,0.0000,0.0000,2.2500,0.0000,1.0000,0,0,0,10,10,10,10
stlr,after_every,l1,random,2048,8,1000000,10,26.90,8.36,26.88,8.36,0.00,-0.01,3.3620,3.3600,0.0005,0.0000,0.0000,0.0000,2.1250,0.0000,1.0000,0,0,0,10,10,10,10
stlr,after_every,l1,random,2048,16,1000000,10,52.46,16.28,52.38,16.26,-0.06,-0.03,3.2786,3.2739,-0.0036,0.0000,0.0000,0.0000,2.0625,0.0000,1.0000,0,0,0,10,10,10,10
stlr,after_every,l1,random,2048,32,1000000,10,103.47,32.11,103.36,32.08,-0.11,-0.03,3.2335,3.2300,-0.0036,0.0000,0.0000,0.0000,2.0313,0.0000,1.0000,0,0,0,10,10,10,10
stlr,after_every,l1,random,2048,64,1000000,10,205.13,63.63,204.75,63.52,-0.38,-0.12,3.2052,3.1992,-0.0060,0.0000,0.0000,0.0000,2.0156,0.0000,1.0000,0,0,0,10,10,10,10
stlr,after_every,l2,random,524288,1,1000000,10,14.37,4.48,14.34,4.47,-0.08,-0.04,14.3714,14.3369,-0.0777,1.8877,0.1048,0.1214,3.0001,0.4546,1.0000,0,0,0,10,10,10,10
stlr,after_every,l2,random,524288,2,1000000,10,21.10,6.57,20.59,6.41,0.07,0.02,10.5494,10.2942,0.0364,1.3525,0.1116,0.1985,2.5000,0.5643,1.0000,0,0,0,10,10,10,10
stlr,after_every,l2,random,524288,4,1000000,10,28.64,8.90,28.73,8.93,0.11,0.03,7.1600,7.1815,0.0272,1.0762,0.0629,0.1945,2.2502,0.5140,1.0000,0,0,0,10,10,10,10
stlr,after_every,l2,random,524288,8,1000000,10,38.40,11.95,40.15,12.48,1.83,0.57,4.8002,5.0189,0.2281,0.9282,0.0394,0.0827,2.1252,0.3658,1.0000,0,0,0,10,10,10,10
stlr,after_every,l2,random,524288,16,1000000,10,63.92,19.86,64.38,20.00,0.42,0.13,3.9948,4.0237,0.0261,0.8549,0.0104,0.0366,2.0629,0.1885,1.0000,0,0,0,10,10,10,10
stlr,after_every,l2,random,524288,32,1000000,10,115.47,35.85,115.76,35.95,0.30,0.09,3.6083,3.6176,0.0093,0.8159,0.0044,0.0181,2.0317,0.1022,1.0000,0,0,0,10,10,10,10
stlr,after_every,l2,random,524288,64,1000000,10,221.36,68.73,221.11,68.65,-0.22,-0.08,3.4588,3.4548,-0.0035,0.7971,0.0023,0.0125,2.0160,0.0663,1.0000,0,0,0,10,10,10,10
stlr,after_every,l3,random,8388608,1,1000000,10,23.48,7.33,23.86,7.43,0.37,0.12,23.4847,23.8577,0.3740,1.9921,0.9674,1.9251,3.0001,0.8220,1.0000,0,0,0,10,10,10,10
