fence,placement,N,iters,repeats,base_cyc_op,base_ins_op,base_mem_op,base_l1_op,base_stall_pct,treat_cyc_op,treat_ins_op,treat_mem_op,treat_l1_op,treat_stall_pct,d_cyc_op,d_ins_op,d_mem_op
dmb_ish,after_group,1,1000000,15,3.813,26.000,2.000,0.0000,0.0,13.900,27.000,2.000,0.0000,0.0,10.087,1.000,0.000
dmb_ish,after_group,4,1000000,15,3.037,17.750,2.000,0.0000,0.0,5.006,18.000,2.000,0.0000,0.0,1.969,0.250,0.000
dmb_ish,after_group,8,1000000,15,3.065,16.375,2.000,0.0000,0.0,3.270,16.500,2.000,0.0000,0.0,0.205,0.125,0.000
dmb_ish,after_group,16,1000000,15,3.174,15.688,2.000,0.0000,0.0,3.173,15.750,2.000,0.0000,0.0,-0.001,0.063,0.000
dmb_ish,after_group,32,1000000,15,3.169,15.344,2.000,0.0000,0.0,3.166,15.375,2.000,0.0000,0.0,-0.003,0.031,0.000
dmb_ish,after_group,64,1000000,15,3.369,15.172,2.000,0.0000,0.0,3.357,15.188,2.000,0.0000,0.0,-0.012,0.016,0.000
dmb_ish,after_every,1,1000000,15,3.845,26.000,2.000,0.0000,0.0,14.137,27.000,2.000,0.0000,0.0,10.292,1.000,0.000
dmb_ish,after_every,8,1000000,15,3.065,16.375,2.000,0.0000,0.0,13.179,17.375,2.000,0.0000,0.0,10.114,1.000,0.000
dmb_ish,after_every,64,1000000,15,3.368,15.172,2.000,0.0000,0.0,13.080,16.172,2.000,0.0000,0.0,9.712,1.000,0.000
dmb_ishst,after_group,1,1000000,15,3.855,26.000,2.000,0.0000,0.0,6.000,27.000,2.000,0.0000,0.0,2.145,1.000,0.000
dmb_ishst,after_group,4,1000000,15,3.033,17.750,2.000,0.0000,0.0,3.027,18.000,2.000,0.0000,0.0,-0.006,0.250,0.000
