treatment,placement,condition,pattern,ws_bytes,stores,iters,warmup,repeat,core,numa_bind,n_access,base_cyc,base_ns,base_l1,base_l2,base_ll,base_mem,base_stall,base_enabled,base_running,base_cs,base_mig,base_pf,base_gate,treat_cyc,treat_ns,treat_gate
dmb_ish,after_group,miss,random,536870912,1,1000000,0,0,0,0,1000000,56165483,17509792,999834,1023077,1055394,2000292,52520731,17495072,17495072,0,0,0,PASS,42423059,13228160,PASS
dmb_ish,after_group,miss,random,536870912,1,1000000,0,1,0,0,1000000,38285286,11940928,999868,886735,1216366,2000222,33711529,42636448,42636448,0,0,0,PASS,37363988,11710720,PASS
dmb_ish,after_group,miss,random,536870912,1,1000000,0,2,0,0,1000000,37419308,11674240,999898,876682,1236190,2000262,32813732,65963968,65963968,0,0,0,PASS,37720336,11769408,PASS
dmb_ish,after_group,miss,random,536870912,1,1000000,0,3,0,0,1000000,37513767,11699072,999907,891341,1249869,2000244,32871051,89405216,89405216,0,0,0,PASS,37507554,11692960,PASS
dmb_ish,after_group,miss,random,536870912,1,1000000,0,4,0,0,1000000,37151574,11659808,999899,897216,1251029,2000252,32552966,112664448,112664448,0,0,0,PASS,36871297,11495104,PASS
dmb_ish,after_group,miss,random,536870912,1,1000000,0,5,0,0,1000000,36359635,11336800,999898,901416,1252223,2000244,31761386,135469440,135469440,0,0,0,PASS,36409391,11348288,PASS
dmb_ish,after_group,miss,random,536870912,1,1000000,0,6,0,0,1000000,35874377,11187264,999912,905327,1252108,2000245,31271655,157978304,157978304,0,0,0,PASS,36003144,11224224,PASS
dmb_ish,after_group,miss,random,536870912,1,1000000,0,7,0,0,1000000,35271653,10998560,999901,905646,1256862,2000230,30659955,180174752,180174752,0,0,0,PASS,35189890,10975872,PASS
dmb_ish,after_group,miss,random,536870912,1,1000000,0,8,0,0,1000000,34460835,10741024,999945,907593,1257711,2000232,29880720,201860128,201860128,0,0,0,PASS,34685637,10813536,PASS
dmb_ish,after_group,miss,random,536870912,1,1000000,0,9,0,0,1000000,33982999,10595136,999912,909836,1263464,2000232,29393656,223242304,223242304,0,0,0,PASS,34193096,10657408,PASS
