treatment,placement,condition,pattern,ws_bytes,stores,iters,repeats,base_cyc_iter,base_ns_iter,var_cyc_iter,var_ns_iter,incr_cyc_iter,incr_ns_iter,base_cyc_op,var_cyc_op,incr_cyc_op,base_l1_acc,base_l2_acc,base_ll_acc,base_mem_acc,base_stall_frac,base_mux,base_cs,base_mig,base_pf,base_pass,base_tot,treat_pass,treat_tot
dmb_ish,after_group,miss,random,536870912,1,1000000,10,37.15,11.66,36.87,11.50,0.05,0.01,37.1516,36.8713,0.0498,0.9999,0.9053,1.2521,2.0002,0.8762,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,miss,random,536870912,2,1000000,10,78.84,24.56,79.67,24.80,0.92,0.28,39.4186,39.8370,0.4592,0.9999,1.0057,1.2370,1.5002,0.9241,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,miss,random,536870912,4,1000000,10,164.04,51.04,164.71,51.29,0.37,0.11,41.0112,41.1779,0.0921,0.9998,1.0392,1.1448,1.2501,0.9348,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,miss,random,536870912,8,1000000,10,309.08,96.11,308.68,95.98,-0.13,-0.07,38.6356,38.5851,-0.0164,0.9998,1.0024,1.0182,1.1251,0.9351,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,miss,random,536870912,16,1000000,10,606.79,188.70,606.43,188.59,0.02,-0.01,37.9245,37.9016,0.0010,0.9997,0.9988,1.0080,1.0626,0.9366,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,miss,random,536870912,32,1000000,10,1203.33,373.99,1203.66,374.12,0.24,0.07,37.6041,37.6143,0.0076,0.9997,0.9988,1.0080,1.0313,0.9364,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,miss,random,536870912,64,1000000,10,2395.72,744.82,2395.86,745.08,0.21,0.07,37.4331,37.4352,0.0033,0.9998,0.9988,1.0077,1.0157,0.9363,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,hit,random,2048,1,1000000,10,3.32,1.04,8.86,2.76,5.56,1.73,3.3190,8.8642,5.5575,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,hit,random,2048,2,1000000,10,5.25,1.65,9.62,3.00,4.38,1.35,2.6233,4.8077,2.1902,0.0000,0.0000,0.0000,1.5000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,hit,random,2048,4,1000000,10,9.84,3.06,11.14,3.47,1.36,0.42,2.4592,2.7851,0.3394,0.0000,0.0000,0.0000,1.2500,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,hit,random,2048,8,1000000,10,19.38,6.03,19.81,6.16,0.43,0.14,2.4231,2.4766,0.0538,0.0000,0.0000,0.0000,1.1250,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,hit,random,2048,16,1000000,10,39.39,12.23,39.89,12.39,0.55,0.17,2.4620,2.4934,0.0344,0.0000,0.0000,0.0000,1.0625,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,hit,random,2048,32,1000000,10,79.67,24.73,80.48,24.98,0.72,0.24,2.4898,2.5149,0.0224,0.0000,0.0000,0.0000,1.0313,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_group,hit,random,2048,64,1000000,10,163.26,50.65,164.17,50.95,0.96,0.32,2.5510,2.5652,0.0150,0.0000,0.0000,0.0000,1.0156,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,miss,random,536870912,1,1000000,10,44.78,13.96,44.22,13.79,-0.63,-0.20,44.7783,44.2186,-0.6278,0.9999,0.9014,1.2382,2.0003,0.8949,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,miss,random,536870912,2,1000000,10,83.19,25.90,88.34,27.51,5.12,1.58,41.5955,44.1717,2.5584,0.9999,1.0091,1.2454,1.5002,0.9254,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,miss,random,536870912,4,1000000,10,163.77,50.96,175.48,54.61,11.66,3.64,40.9418,43.8701,2.9142,0.9998,1.0525,1.2236,1.2501,0.9352,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,miss,random,536870912,8,1000000,10,308.10,95.78,335.68,104.50,27.53,8.57,38.5119,41.9601,3.4410,0.9998,1.0036,1.0184,1.1251,0.9352,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,miss,random,536870912,16,1000000,10,605.90,188.37,653.03,203.03,46.68,14.53,37.8689,40.8142,2.9173,0.9997,0.9988,1.0080,1.0626,0.9366,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,miss,random,536870912,32,1000000,10,1202.77,373.86,1306.18,405.98,103.35,32.16,37.5866,40.8182,3.2298,0.9997,0.9987,1.0076,1.0313,0.9364,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,miss,random,536870912,64,1000000,10,2395.86,744.68,2609.30,811.05,213.49,66.34,37.4354,40.7703,3.3357,0.9998,0.9997,1.0086,1.0157,0.9364,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,hit,random,2048,1,1000000,10,3.29,1.04,8.63,2.69,5.34,1.66,3.2943,8.6280,5.3383,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,hit,random,2048,2,1000000,10,5.21,1.63,16.81,5.23,11.60,3.60,2.6053,8.4042,5.7999,0.0000,0.0000,0.0000,1.5000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,hit,random,2048,4,1000000,10,9.77,3.05,32.94,10.23,23.17,7.18,2.4429,8.2348,5.7933,0.0000,0.0000,0.0000,1.2500,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,hit,random,2048,8,1000000,10,19.46,6.05,65.38,20.29,45.92,14.25,2.4328,8.1725,5.7401,0.0000,0.0000,0.0000,1.1250,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,hit,random,2048,16,1000000,10,39.41,12.24,130.25,40.41,90.85,28.18,2.4630,8.1405,5.6781,0.0000,0.0000,0.0000,1.0625,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,hit,random,2048,32,1000000,10,79.74,24.74,260.14,80.70,180.43,55.95,2.4918,8.1293,5.6385,0.0000,0.0000,0.0000,1.0313,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ish,after_every,hit,random,2048,64,1000000,10,163.15,50.65,519.81,161.20,356.67,110.60,2.5492,8.1221,5.5729,0.0000,0.0000,0.0000,1.0156,0.0000,1.0000,0,0,0,10,10,10,10
