treatment,placement,condition,pattern,ws_bytes,stores,iters,warmup,repeat,core,numa_bind,n_access,base_cyc,base_ns,base_l1,base_l2,base_ll,base_mem,base_stall,base_enabled,base_running,base_cs,base_mig,base_pf,base_gate,treat_cyc,treat_ns,treat_gate
dmb_ishld,after_group,miss,random,536870912,1,1000000,0,0,0,0,1000000,56406905,17594144,999738,1023204,1053404,2000271,52730126,17576608,17576608,0,0,0,PASS,49388074,15404032,PASS
dmb_ishld,after_group,miss,random,536870912,1,1000000,0,1,0,0,1000000,46961288,14649504,1002183,895376,1221414,2000279,42167185,47598016,47598016,0,0,0,PASS,44984380,14044160,PASS
dmb_ishld,after_group,miss,random,536870912,1,1000000,0,2,0,0,1000000,45845577,14298656,999874,886808,1232737,2000264,41094058,75909312,75909312,0,0,0,PASS,45112997,14074592,PASS
dmb_ishld,after_group,miss,random,536870912,1,1000000,0,3,0,0,1000000,45579768,14206112,999895,896682,1245584,2000283,40872459,104159360,104159360,0,0,0,PASS,44724578,13941984,PASS
dmb_ishld,after_group,miss,random,536870912,1,1000000,0,4,0,0,1000000,44872651,13988960,999903,898512,1258163,2000288,40160896,132059584,132059584,0,0,0,PASS,44226803,13786816,PASS
dmb_ishld,after_group,miss,random,536870912,1,1000000,0,5,0,0,1000000,44024975,13724832,999895,901464,1251218,2000278,39425562,159541248,159541248,0,0,0,PASS,43459388,13544512,PASS
dmb_ishld,after_group,miss,random,536870912,1,1000000,0,6,0,0,1000000,43386878,13534624,999927,905456,1251461,2000285,38783686,186590400,186590400,0,0,0,PASS,42670836,13298272,PASS
dmb_ishld,after_group,miss,random,536870912,1,1000000,0,7,0,0,1000000,42293087,13182688,999951,907363,1253214,2000259,37720309,213042784,213042784,0,0,0,PASS,41723011,13004000,PASS
dmb_ishld,after_group,miss,random,536870912,1,1000000,0,8,0,0,1000000,41466357,12924608,999955,908443,1253202,2000284,36896161,238943296,238943296,0,0,0,PASS,41053436,12795424,PASS
dmb_ishld,after_group,miss,random,536870912,1,1000000,0,9,0,0,1000000,40638738,12668768,999991,910552,1261480,2000292,36090657,264377664,264377664,0,0,0,PASS,40094272,12496288,PASS
dmb_ishld,after_group,miss,random,536870912,2,1000000,0,0,0,0,2000000,92252945,28805216,1999524,2066811,2167284,3000332,86160762,28724512,28724512,0,0,0,PASS,88143363,27474752,PASS
dmb_ishld,after_group,miss,random,536870912,2,1000000,0,1,0,0,2000000,85307868,26584256,1999702,2078666,3102402,3000427,78970576,82752960,82752960,0,0,0,PASS,86032387,26859776,PASS
dmb_ishld,after_group,miss,random,536870912,2,1000000,0,2,0,0,2000000,84612770,26358848,1999683,2095200,3234531,3000418,78438711,135879040,135879040,0,0,0,PASS,85121923,26528640,PASS
dmb_ishld,after_group,miss,random,536870912,2,1000000,0,3,0,0,2000000,83542773,26026496,1999694,2110820,3298103,3000399,77439446,188403136,188403136,0,0,0,PASS,84058299,26180032,PASS
dmb_ishld,after_group,miss,random,536870912,2,1000000,0,4,0,0,2000000,82177586,25587104,1999706,2103990,3238044,3000386,76167307,240139136,240139136,0,0,0,PASS,82776102,25775296,PASS
dmb_ishld,after_group,miss,random,536870912,2,1000000,0,5,0,0,2000000,81045478,25240704,1999733,2117312,3330199,3000399,75071312,291124160,291124160,0,0,0,PASS,81663700,25427264,PASS
dmb_ishld,after_group,miss,random,536870912,2,1000000,0,6,0,0,2000000,79900315,24890464,1999754,2117809,3329940,3000436,73897409,341395712,341395712,0,0,0,PASS,80890460,25181984,PASS
dmb_ishld,after_group,miss,random,536870912,2,1000000,0,7,0,0,2000000,79052120,24619520,1999749,2114278,3305073,3000431,73064186,391168512,391168512,0,0,0,PASS,79985371,24899584,PASS
dmb_ishld,after_group,miss,random,536870912,2,1000000,0,8,0,0,2000000,78532567,24450976,1999757,2116725,3342783,3000464,72545387,440490816,440490816,0,0,0,PASS,79613255,24778688,PASS
dmb_ishld,after_group,miss,random,536870912,2,1000000,0,9,0,0,2000000,78136989,24334944,1999842,2117771,3314976,3000412,72187291,489574112,489574112,0,0,0,PASS,79247814,24671328,PASS
dmb_ishld,after_group,miss,random,536870912,4,1000000,0,0,0,0,4000000,166183831,51725408,3999007,4100476,4252351,5000475,155300962,51704000,51704000,0,0,0,PASS,166351272,51752704,PASS
dmb_ishld,after_group,miss,random,536870912,4,1000000,0,1,0,0,4000000,167450195,52137728,3999071,4322624,5469017,5000506,156707220,155537632,155537632,0,0,0,PASS,167300116,52044608,PASS
dmb_ishld,after_group,miss,random,536870912,4,1000000,0,2,0,0,4000000,167156063,51995968,3999099,4342501,5716727,5000525,156443055,259543264,259543264,0,0,0,PASS,167345971,52057504,PASS
dmb_ishld,after_group,miss,random,536870912,4,1000000,0,3,0,0,4000000,166448593,51773440,3999092,4320679,5563935,5000527,155783078,363338368,363338368,0,0,0,PASS,166812153,51878240,PASS
dmb_ishld,after_group,miss,random,536870912,4,1000000,0,4,0,0,4000000,166279035,51771264,3999141,4355118,5758202,5000565,155655195,466910176,466910176,0,0,0,PASS,166616776,51906112,PASS
dmb_ishld,after_group,miss,random,536870912,4,1000000,0,5,0,0,4000000,165876527,51642592,3999140,4350339,5678721,5000576,155250899,570339424,570339424,0,0,0,PASS,166479984,51780736,PASS
dmb_ishld,after_group,miss,random,536870912,4,1000000,0,6,0,0,4000000,166172939,51695808,3999130,4389519,5958947,5000558,155575686,673781184,673781184,0,0,0,PASS,166323409,51740384,PASS
dmb_ishld,after_group,miss,random,536870912,4,1000000,0,7,0,0,4000000,165629428,51543616,3999183,4396242,5998629,5000598,155103191,777028320,777028320,0,0,0,PASS,166004007,51663488,PASS
dmb_ishld,after_group,miss,random,536870912,4,1000000,0,8,0,0,4000000,165184299,51425248,3999207,4398789,6016431,5000592,154660943,880057280,880057280,0,0,0,PASS,164602687,51191968,PASS
dmb_ishld,after_group,miss,random,536870912,4,1000000,0,9,0,0,4000000,164401245,51159840,3999171,4377073,5862105,5000563,153913962,982375168,982375168,0,0,0,PASS,164509072,51202240,PASS
dmb_ishld,after_group,miss,random,536870912,8,1000000,0,0,0,0,8000000,314904017,97984864,7998014,8097482,8284780,9000786,294538569,97962272,97962272,0,0,0,PASS,313447700,97455104,PASS
dmb_ishld,after_group,miss,random,536870912,8,1000000,0,1,0,0,8000000,312163097,97035680,7998022,8029710,8140919,9000727,291872236,292418688,292418688,0,0,0,PASS,311792882,96910880,PASS
dmb_ishld,after_group,miss,random,536870912,8,1000000,0,2,0,0,8000000,310994420,96725024,7998643,8044807,8160477,9000794,290828259,485976192,485976192,0,0,0,PASS,310180501,96412928,PASS
dmb_ishld,after_group,miss,random,536870912,8,1000000,0,3,0,0,8000000,309763870,96310880,7998711,8038966,8165603,9000819,289686886,678665664,678665664,0,0,0,PASS,309237863,96122304,PASS
dmb_ishld,after_group,miss,random,536870912,8,1000000,0,4,0,0,8000000,308228190,95806624,7998766,8014566,8121282,9000872,288212525,870560960,870560960,0,0,0,PASS,307789162,95715328,PASS
dmb_ishld,after_group,miss,random,536870912,8,1000000,0,5,0,0,8000000,307450316,95603200,7998722,8029728,8142924,9000860,287516735,1061798336,1061798336,0,0,0,PASS,307244781,95514976,PASS
dmb_ishld,after_group,miss,random,536870912,8,1000000,0,6,0,0,8000000,306482500,95310976,7998879,8021038,8122184,9000904,286604726,1252571552,1252571552,0,0,0,PASS,306425636,95318336,PASS
