treatment,placement,condition,pattern,ws_bytes,stores,iters,repeats,base_cyc_iter,base_ns_iter,var_cyc_iter,var_ns_iter,incr_cyc_iter,incr_ns_iter,base_cyc_op,var_cyc_op,incr_cyc_op,base_l1_acc,base_l2_acc,base_ll_acc,base_mem_acc,base_stall_frac,base_mux,base_cs,base_mig,base_pf,base_pass,base_tot,treat_pass,treat_tot
dmb_ishld,after_group,miss,random,536870912,1,1000000,10,44.87,13.99,44.23,13.79,-0.65,-0.20,44.8727,44.2268,-0.6458,0.9999,0.9055,1.2515,2.0003,0.8955,1.0000,0,0,0,10,10,10,10
dmb_ishld,after_group,miss,random,536870912,2,1000000,10,82.18,25.59,82.78,25.78,0.72,0.28,41.0888,41.3881,0.3623,0.9999,1.0571,1.6525,1.5002,0.9263,1.0000,0,0,0,10,10,10,10
dmb_ishld,after_group,miss,random,536870912,4,1000000,10,166.18,51.73,166.48,51.78,0.19,0.06,41.5460,41.6200,0.0475,0.9998,1.0888,1.4396,1.2501,0.9361,1.0000,0,0,0,10,10,10,10
dmb_ishld,after_group,miss,random,536870912,8,1000000,10,308.23,95.81,307.79,95.72,-0.21,-0.09,38.5285,38.4736,-0.0257,0.9998,1.0037,1.0176,1.1251,0.9352,1.0000,0,0,0,10,10,10,10
dmb_ishld,after_group,miss,random,536870912,16,1000000,10,605.31,188.22,605.21,188.29,-0.09,-0.02,37.8316,37.8254,-0.0054,0.9998,0.9986,1.0081,1.0626,0.9366,1.0000,0,0,0,10,10,10,10
dmb_ishld,after_group,miss,random,536870912,32,1000000,10,1202.47,373.99,1202.86,374.09,0.26,0.07,37.5772,37.5894,0.0083,0.9998,0.9987,1.0070,1.0313,0.9364,1.0000,0,0,0,10,10,10,10
dmb_ishld,after_group,miss,random,536870912,64,1000000,10,2398.76,745.85,2399.08,745.89,0.22,-0.00,37.4806,37.4856,0.0034,0.9998,0.9988,1.0078,1.0157,0.9363,1.0000,0,0,0,10,10,10,10
dmb_ishld,after_group,hit,random,2048,1,1000000,10,3.30,1.04,8.86,2.76,5.59,1.73,3.3038,8.8638,5.5883,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ishld,after_group,hit,random,2048,2,1000000,10,5.38,1.68,9.62,3.00,4.34,1.34,2.6896,4.8079,2.1694,0.0000,0.0000,0.0000,1.5000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_ishld,after_group,hit,random,2048,4,1000000,10,9.79,3.05,11.14,3.47,1.35,0.43,2.4473,2.7850,0.3382,0.0000,0.0000,0.0000,1.2500,0.0000,1.0000,0,0,0,10,10,10,10
