treatment,placement,condition,pattern,ws_bytes,stores,iters,warmup,repeat,core,numa_bind,n_access,base_cyc,base_ns,base_l1,base_l2,base_ll,base_mem,base_stall,base_enabled,base_running,base_cs,base_mig,base_pf,base_gate,treat_cyc,treat_ns,treat_gate
dmb_ld,after_group,miss,random,536870912,1,1000000,0,0,0,0,1000000,56800934,17722560,999783,1039574,1123684,2000272,53126040,17706272,17706272,0,0,0,PASS,49176597,15349152,PASS
dmb_ld,after_group,miss,random,536870912,1,1000000,0,1,0,0,1000000,47003812,14672608,999850,906210,1399991,2000288,42170225,47692928,47692928,0,0,0,PASS,45562773,14238240,PASS
dmb_ld,after_group,miss,random,536870912,1,1000000,0,2,0,0,1000000,46301468,14451392,999876,910960,1432077,2000279,41219193,76345024,76345024,0,0,0,PASS,45618623,14256640,PASS
dmb_ld,after_group,miss,random,536870912,1,1000000,0,3,0,0,1000000,45839761,14309184,999863,919305,1442387,2000271,40956043,104871264,104871264,0,0,0,PASS,45309338,14140096,PASS
dmb_ld,after_group,miss,random,536870912,1,1000000,0,4,0,0,1000000,45491134,14196992,999879,926842,1455061,2000269,40778101,133172160,133172160,0,0,0,PASS,44863602,14001152,PASS
dmb_ld,after_group,miss,random,536870912,1,1000000,0,5,0,0,1000000,44694501,13949504,1000057,929216,1450236,2000290,40012144,161082400,161082400,0,0,0,PASS,44048960,13746272,PASS
dmb_ld,after_group,miss,random,536870912,1,1000000,0,6,0,0,1000000,43952137,13723808,1000206,932731,1457291,2000280,39288622,188512960,188512960,0,0,0,PASS,43409124,13539808,PASS
dmb_ld,after_group,miss,random,536870912,1,1000000,0,7,0,0,1000000,42991385,13412000,999963,936364,1465855,2000299,38347912,215428000,215428000,0,0,0,PASS,42259510,13185472,PASS
dmb_ld,after_group,miss,random,536870912,1,1000000,0,8,0,0,1000000,42022576,13108416,999966,935956,1451326,2000272,37455319,241681600,241681600,0,0,0,PASS,41576015,12967680,PASS
dmb_ld,after_group,miss,random,536870912,1,1000000,0,9,0,0,1000000,41102776,12819008,999966,939636,1459985,2000277,36532024,267435392,267435392,0,0,0,PASS,40675138,12692160,PASS
dmb_ld,after_group,miss,random,536870912,2,1000000,0,0,0,0,2000000,91681114,28565312,1999440,2036246,2096108,3000304,85576100,28548864,28548864,0,0,0,PASS,87056034,27161120,PASS
dmb_ld,after_group,miss,random,536870912,2,1000000,0,1,0,0,2000000,83613405,26050400,1999798,1985120,2501294,3000389,77209513,81707936,81707936,0,0,0,PASS,84119073,26201856,PASS
dmb_ld,after_group,miss,random,536870912,2,1000000,0,2,0,0,2000000,82707280,25766304,2002241,1997748,2553047,3000405,76369487,133642240,133642240,0,0,0,PASS,83194123,25912896,PASS
