treatment,placement,condition,pattern,ws_bytes,stores,iters,warmup,repeat,core,numa_bind,n_access,base_cyc,base_ns,base_l1,base_l2,base_ll,base_mem,base_stall,base_enabled,base_running,base_cs,base_mig,base_pf,base_gate,treat_cyc,treat_ns,treat_gate
dmb_sy,after_group,miss,random,536870912,1,1000000,0,0,0,0,1000000,56740558,17698656,999768,1031892,1077898,2000284,53060215,17683328,17683328,0,0,0,PASS,49586230,15465024,PASS
dmb_sy,after_group,miss,random,536870912,1,1000000,0,1,0,0,1000000,47418170,14851712,999890,932686,1542435,2000297,42578221,47935744,47935744,0,0,0,PASS,46076241,14395072,PASS
dmb_sy,after_group,miss,random,536870912,1,1000000,0,2,0,0,1000000,46304042,14453216,999866,930020,1615694,2000268,41626549,76751104,76751104,0,0,0,PASS,45909699,14327168,PASS
dmb_sy,after_group,miss,random,536870912,1,1000000,0,3,0,0,1000000,46396041,14477184,999921,943505,1657735,2000303,41715045,105521088,105521088,0,0,0,PASS,45742636,14266816,PASS
dmb_sy,after_group,miss,random,536870912,1,1000000,0,4,0,0,1000000,45926677,14326528,999881,951988,1659921,2000279,41244498,134079232,134079232,0,0,0,PASS,45129906,14079232,PASS
dmb_sy,after_group,miss,random,536870912,1,1000000,0,5,0,0,1000000,45130440,14077280,999906,957077,1661565,2000291,40573584,162201440,162201440,0,0,0,PASS,44531775,13892608,PASS
dmb_sy,after_group,miss,random,536870912,1,1000000,0,6,0,0,1000000,44455877,13865312,999915,960250,1621675,2000257,39959513,189926048,189926048,0,0,0,PASS,43719187,13630304,PASS
dmb_sy,after_group,miss,random,536870912,1,1000000,0,7,0,0,1000000,43545270,13583520,999961,957297,1578936,2000258,39057536,217105984,217105984,0,0,0,PASS,42796766,13341440,PASS
dmb_sy,after_group,miss,random,536870912,1,1000000,0,8,0,0,1000000,42385471,13214144,999969,959742,1594040,2000284,37899168,243627616,243627616,0,0,0,PASS,41692550,13000800,PASS
dmb_sy,after_group,miss,random,536870912,1,1000000,0,9,0,0,1000000,41323236,12885472,999983,959391,1591816,2000283,36873500,269482080,269482080,0,0,0,PASS,40762040,12716160,PASS
dmb_sy,after_group,miss,random,536870912,2,1000000,0,0,0,0,2000000,91952859,28645024,1999463,2042848,2101498,3000350,85836890,28624192,28624192,0,0,0,PASS,87706256,27323264,PASS
dmb_sy,after_group,miss,random,536870912,2,1000000,0,1,0,0,2000000,84574392,26340096,2000070,1994910,2449618,3000411,78284516,82255008,82255008,0,0,0,PASS,84829487,26419456,PASS
dmb_sy,after_group,miss,random,536870912,2,1000000,0,2,0,0,2000000,83531918,26012544,1999668,1995368,2471926,3000390,77335478,134653472,134653472,0,0,0,PASS,83899145,26131488,PASS
dmb_sy,after_group,miss,random,536870912,2,1000000,0,3,0,0,2000000,82129525,25603040,1999716,2005022,2482162,3000417,76061881,186350880,186350880,0,0,0,PASS,82505292,25692736,PASS
dmb_sy,after_group,miss,random,536870912,2,1000000,0,4,0,0,2000000,80415800,25076032,1999744,2005642,2469238,3000415,74399242,237061568,237061568,0,0,0,PASS,81113673,25272032,PASS
dmb_sy,after_group,miss,random,536870912,2,1000000,0,5,0,0,2000000,79454770,24748064,1999750,2008716,2486006,3000417,73481207,287041952,287041952,0,0,0,PASS,80185806,25035808,PASS
