treatment,placement,condition,pattern,ws_bytes,stores,iters,repeats,base_cyc_iter,base_ns_iter,var_cyc_iter,var_ns_iter,incr_cyc_iter,incr_ns_iter,base_cyc_op,var_cyc_op,incr_cyc_op,base_l1_acc,base_l2_acc,base_ll_acc,base_mem_acc,base_stall_frac,base_mux,base_cs,base_mig,base_pf,base_pass,base_tot,treat_pass,treat_tot
dmb_sy,after_group,miss,random,536870912,1,1000000,10,45.93,14.33,45.13,14.08,-0.69,-0.21,45.9267,45.1299,-0.6929,0.9999,0.9573,1.6157,2.0003,0.8989,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,miss,random,536870912,2,1000000,10,80.42,25.08,81.11,25.27,0.70,0.20,40.2079,40.5568,0.3489,0.9999,1.0048,1.2411,1.5002,0.9252,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,miss,random,536870912,4,1000000,10,164.19,51.07,164.70,51.23,0.41,0.13,41.0476,41.1755,0.1021,0.9998,1.0342,1.1234,1.2501,0.9348,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,miss,random,536870912,8,1000000,10,308.85,95.99,308.99,96.11,0.07,0.02,38.6064,38.6242,0.0086,0.9998,1.0045,1.0179,1.1251,0.9352,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,miss,random,536870912,16,1000000,10,606.16,188.43,606.24,188.60,-0.04,0.01,37.8848,37.8903,-0.0028,0.9997,0.9994,1.0081,1.0626,0.9366,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,miss,random,536870912,32,1000000,10,1202.93,373.97,1203.14,373.97,0.26,0.08,37.5916,37.5980,0.0082,0.9998,0.9987,1.0072,1.0313,0.9364,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,miss,random,536870912,64,1000000,10,2395.89,744.60,2396.06,744.63,0.11,-0.00,37.4358,37.4385,0.0017,0.9998,0.9986,1.0075,1.0157,0.9363,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,hit,random,2048,1,1000000,10,3.30,1.04,8.86,2.76,5.57,1.73,3.2990,8.8636,5.5664,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,hit,random,2048,2,1000000,10,5.26,1.65,9.62,3.00,4.37,1.36,2.6317,4.8076,2.1856,0.0000,0.0000,0.0000,1.5000,0.0000,1.0000,0,0,0,10,10,10,10
dmb_sy,after_group,hit,random,2048,4,1000000,10,9.91,3.09,11.14,3.47,1.28,0.41,2.4777,2.7850,0.3195,0.0000,0.0000,0.0000,1.2500,0.0000,1.0000,0,0,0,10,10,10,10
