treatment,placement,condition,pattern,ws_bytes,stores,iters,warmup,repeat,core,numa_bind,n_access,base_cyc,base_ns,base_l1,base_l2,base_ll,base_mem,base_stall,base_enabled,base_running,base_cs,base_mig,base_pf,base_gate,treat_cyc,treat_ns,treat_gate
ldapr,after_group,miss,random,536870912,1,1000000,0,0,0,0,1000000,54640854,17055584,999719,1020954,1053304,2000254,50831841,17038688,17038688,0,0,0,PASS,46868439,14627680,PASS
ldapr,after_group,miss,random,536870912,1,1000000,0,1,0,0,1000000,44865348,14000736,999982,882107,1206500,2000277,39994108,45636480,45636480,0,0,0,PASS,43385463,13549056,PASS
ldapr,after_group,miss,random,536870912,1,1000000,0,2,0,0,1000000,44636954,13929216,999865,880165,1225991,2000270,39837515,73083520,73083520,0,0,0,PASS,43630779,13621440,PASS
ldapr,after_group,miss,random,536870912,1,1000000,0,3,0,0,1000000,44435367,13861344,999877,891300,1230434,2000297,39675750,100534144,100534144,0,0,0,PASS,43116918,13533792,PASS
ldapr,after_group,miss,random,536870912,1,1000000,0,4,0,0,1000000,43978163,13716448,999870,898943,1232835,2000284,39338569,127681696,127681696,0,0,0,PASS,42719312,13319712,PASS
ldapr,after_group,miss,random,536870912,1,1000000,0,5,0,0,1000000,43425284,13541920,999874,901437,1234539,2000291,38845537,154512992,154512992,0,0,0,PASS,41967840,13086400,PASS
ldapr,after_group,miss,random,536870912,1,1000000,0,6,0,0,1000000,42485291,13274240,999884,904081,1235595,2000288,37976568,180843968,180843968,0,0,0,PASS,41241393,12862656,PASS
ldapr,after_group,miss,random,536870912,1,1000000,0,7,0,0,1000000,41653499,12988448,999872,906011,1238285,2000275,37151715,206665536,206665536,0,0,0,PASS,40303936,12569280,PASS
ldapr,after_group,miss,random,536870912,1,1000000,0,8,0,0,1000000,40804628,12725504,999896,905689,1239750,2000272,36338004,231931424,231931424,0,0,0,PASS,39777276,12458496,PASS
ldapr,after_group,miss,random,536870912,1,1000000,0,9,0,0,1000000,39925180,12444768,999880,910434,1241022,2000239,35362134,256770592,256770592,0,0,0,PASS,38473111,11999040,PASS
ldapr,after_group,miss,random,536870912,2,1000000,0,0,0,0,2000000,96047126,29925760,1999473,2054917,2130634,4000527,89693889,29905952,29905952,0,0,0,PASS,91944303,28696640,PASS
ldapr,after_group,miss,random,536870912,2,1000000,0,1,0,0,2000000,87561133,27281280,1999733,1993108,2420256,4000650,81120311,85831968,85831968,0,0,0,PASS,88786363,27660224,PASS
ldapr,after_group,miss,random,536870912,2,1000000,0,2,0,0,2000000,86649260,27015520,1999697,1994657,2458768,4000624,80294359,140474432,140474432,0,0,0,PASS,88599402,27608576,PASS
ldapr,after_group,miss,random,536870912,2,1000000,0,3,0,0,2000000,85362615,26590432,1999675,1999428,2449076,4000577,79095978,194640448,194640448,0,0,0,PASS,87136043,27135168,PASS
ldapr,after_group,miss,random,536870912,2,1000000,0,4,0,0,2000000,83938014,26133632,1999712,2000519,2445496,4000560,77720846,247879072,247879072,0,0,0,PASS,85446361,26605152,PASS
ldapr,after_group,miss,random,536870912,2,1000000,0,5,0,0,2000000,82647375,25740896,1999738,2000924,2449905,4000624,76450965,300195008,300195008,0,0,0,PASS,84498985,26306368,PASS
ldapr,after_group,miss,random,536870912,2,1000000,0,6,0,0,2000000,82054669,25548480,1999759,2009943,2468057,4000615,75880754,352019200,352019200,0,0,0,PASS,83695304,26085088,PASS
ldapr,after_group,miss,random,536870912,2,1000000,0,7,0,0,2000000,81268950,25299232,1999747,2011874,2465510,4000593,75099420,403366208,403366208,0,0,0,PASS,83200431,25904928,PASS
ldapr,after_group,miss,random,536870912,2,1000000,0,8,0,0,2000000,80639349,25136288,1999783,2010474,2455963,4000612,74531107,454360800,454360800,0,0,0,PASS,82420606,25661024,PASS
ldapr,after_group,miss,random,536870912,2,1000000,0,9,0,0,2000000,80099245,24966976,1999751,2011666,2461290,4000602,73973243,504941376,504941376,0,0,0,PASS,82015200,25533536,PASS
ldapr,after_group,miss,random,536870912,4,1000000,0,0,0,0,4000000,175282650,54556224,3999007,4053822,4138583,8001154,163937451,54532704,54532704,0,0,0,PASS,174895754,54428512,PASS
ldapr,after_group,miss,random,536870912,4,1000000,0,1,0,0,4000000,174544309,54314272,3999058,4135034,4464860,8001113,163323070,163241248,163241248,0,0,0,PASS,175222742,54579520,PASS
ldapr,after_group,miss,random,536870912,4,1000000,0,2,0,0,4000000,174505868,54378912,3999072,4160638,4601135,8001103,163271962,272076160,272076160,0,0,0,PASS,174910028,54420864,PASS
ldapr,after_group,miss,random,536870912,4,1000000,0,3,0,0,4000000,174010520,54140896,3999114,4159195,4584970,8001104,162848989,380601792,380601792,0,0,0,PASS,174593242,54317888,PASS
ldapr,after_group,miss,random,536870912,4,1000000,0,4,0,0,4000000,173826261,54092704,3999136,4180752,4685713,8001124,162709467,488979008,488979008,0,0,0,PASS,174135586,54177728,PASS
ldapr,after_group,miss,random,536870912,4,1000000,0,5,0,0,4000000,173261655,53900896,3999120,4159141,4590277,8001133,162150374,597022240,597022240,0,0,0,PASS,173794795,54112768,PASS
ldapr,after_group,miss,random,536870912,4,1000000,0,6,0,0,4000000,172951648,53856544,3999128,4170944,4633188,8001155,161860394,704908640,704908640,0,0,0,PASS,173269233,53907328,PASS
ldapr,after_group,miss,random,536870912,4,1000000,0,7,0,0,4000000,172554682,53706944,3999130,4158026,4583157,8001194,161484028,812488160,812488160,0,0,0,PASS,172692229,53725472,PASS
ldapr,after_group,miss,random,536870912,4,1000000,0,8,0,0,4000000,171888526,53484576,3999107,4155467,4558183,8001128,160837518,919663360,919663360,0,0,0,PASS,172175418,53564896,PASS
ldapr,after_group,miss,random,536870912,4,1000000,0,9,0,0,4000000,171412627,53365088,3999207,4178532,4669252,8001211,160439709,1026552960,1026552960,0,0,0,PASS,171270627,53301792,PASS
ldapr,after_group,miss,random,536870912,8,1000000,0,0,0,0,8000000,336730785,104844576,7997893,8038710,8162442,16002185,315257669,104771840,104771840,0,0,0,PASS,337059190,104811296,PASS
ldapr,after_group,miss,random,536870912,8,1000000,0,1,0,0,8000000,334323890,104010976,7997972,8010190,8110195,16002283,312905016,313509184,313509184,0,0,0,PASS,335540892,104413600,PASS
ldapr,after_group,miss,random,536870912,8,1000000,0,2,0,0,8000000,332594491,103451680,7997998,8000581,8091707,16002223,311273755,521243552,521243552,0,0,0,PASS,333490265,103708896,PASS
ldapr,after_group,miss,random,536870912,8,1000000,0,3,0,0,8000000,331564825,103082848,7998209,7990116,8070928,16002266,310320618,727985280,727985280,0,0,0,PASS,332644376,103429792,PASS
ldapr,after_group,miss,random,536870912,8,1000000,0,4,0,0,8000000,330222898,102662848,7998822,7989508,8064541,16002298,309051330,934026720,934026720,0,0,0,PASS,331589675,103106560,PASS
ldapr,after_group,miss,random,536870912,8,1000000,0,5,0,0,8000000,329448767,102537440,7998812,7989971,8064988,16002244,308331655,1139558528,1139558528,0,0,0,PASS,330882808,102912032,PASS
