treatment,placement,condition,pattern,ws_bytes,stores,iters,repeats,base_cyc_iter,base_ns_iter,var_cyc_iter,var_ns_iter,incr_cyc_iter,incr_ns_iter,base_cyc_op,var_cyc_op,incr_cyc_op,base_l1_acc,base_l2_acc,base_ll_acc,base_mem_acc,base_stall_frac,base_mux,base_cs,base_mig,base_pf,base_pass,base_tot,treat_pass,treat_tot
ldapr,after_group,miss,random,536870912,1,1000000,10,43.98,13.72,42.72,13.32,-1.32,-0.41,43.9782,42.7193,-1.3184,0.9999,0.9041,1.2345,2.0003,0.8929,1.0000,0,0,0,10,10,10,10
ldapr,after_group,miss,random,536870912,2,1000000,10,83.94,26.13,85.45,26.61,1.78,0.54,41.9690,42.7232,0.8906,0.9999,1.0050,1.2280,2.0003,0.9259,1.0000,0,0,0,10,10,10,10
ldapr,after_group,miss,random,536870912,4,1000000,10,173.83,54.09,174.14,54.18,0.32,0.08,43.4566,43.5339,0.0794,0.9998,1.0398,1.1476,2.0003,0.9359,1.0000,0,0,0,10,10,10,10
ldapr,after_group,miss,random,536870912,8,1000000,10,330.22,102.66,331.59,103.11,1.37,0.40,41.2779,41.4487,0.1708,0.9999,0.9987,1.0093,2.0003,0.9359,1.0000,0,0,0,10,10,10,10
ldapr,after_group,miss,random,536870912,16,1000000,10,645.82,200.83,646.00,200.95,0.26,0.13,40.3636,40.3753,0.0164,0.9998,0.9991,1.0085,2.0003,0.9363,1.0000,0,0,0,10,10,10,10
ldapr,after_group,miss,random,536870912,32,1000000,10,1291.15,401.35,1291.11,401.41,-0.28,-0.01,40.3484,40.3472,-0.0086,0.9998,0.9987,1.0079,2.0003,0.9370,1.0000,0,0,0,10,10,10,10
ldapr,after_group,miss,random,536870912,64,1000000,10,2583.38,803.27,2583.93,803.45,0.62,0.24,40.3654,40.3739,0.0097,0.9998,0.9987,1.0081,2.0003,0.9373,1.0000,0,0,0,10,10,10,10
ldapr,after_group,hit,random,2048,1,1000000,10,3.27,1.03,3.26,1.02,-0.02,-0.01,3.2660,3.2588,-0.0201,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldapr,after_group,hit,random,2048,2,1000000,10,5.81,1.82,5.83,1.82,0.01,0.00,2.9039,2.9138,0.0046,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldapr,after_group,hit,random,2048,4,1000000,10,10.66,3.32,10.59,3.30,-0.05,-0.02,2.6648,2.6473,-0.0135,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldapr,after_group,hit,random,2048,8,1000000,10,21.25,6.60,20.45,6.36,-0.76,-0.23,2.6559,2.5563,-0.0955,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldapr,after_group,hit,random,2048,16,1000000,10,42.62,13.24,42.47,13.19,-0.13,-0.04,2.6640,2.6544,-0.0083,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldapr,after_group,hit,random,2048,32,1000000,10,86.27,26.77,85.45,26.52,-0.77,-0.24,2.6959,2.6704,-0.0242,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldapr,after_group,hit,random,2048,64,1000000,10,172.79,53.62,172.83,53.62,0.02,0.02,2.6999,2.7004,0.0003,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldapr,after_every,miss,random,536870912,1,1000000,10,43.43,13.55,43.50,13.56,-0.12,-0.04,43.4341,43.4971,-0.1229,1.0000,0.9129,1.2783,2.0003,0.8924,1.0000,0,0,0,10,10,10,10
ldapr,after_every,miss,random,536870912,2,1000000,10,84.48,26.36,85.28,26.55,0.69,0.22,42.2409,42.6403,0.3472,0.9999,0.9956,1.2482,2.0003,0.9240,1.0000,0,0,0,10,10,10,10
ldapr,after_every,miss,random,536870912,4,1000000,10,173.25,53.90,173.54,54.00,0.29,0.09,43.3127,43.3854,0.0727,0.9998,1.0382,1.1236,2.0003,0.9359,1.0000,0,0,0,10,10,10,10
ldapr,after_every,miss,random,536870912,8,1000000,10,331.09,102.97,331.59,103.14,0.49,0.13,41.3860,41.4488,0.0609,0.9998,1.0039,1.0173,2.0003,0.9361,1.0000,0,0,0,10,10,10,10
ldapr,after_every,miss,random,536870912,16,1000000,10,645.16,200.54,646.24,200.87,1.08,0.34,40.3224,40.3899,0.0675,0.9997,0.9988,1.0083,2.0003,0.9363,1.0000,0,0,0,10,10,10,10
ldapr,after_every,miss,random,536870912,32,1000000,10,1292.83,401.98,1295.11,402.69,2.34,0.68,40.4009,40.4722,0.0731,0.9998,0.9988,1.0080,2.0003,0.9369,1.0000,0,0,0,10,10,10,10
ldapr,after_every,miss,random,536870912,64,1000000,10,2584.65,803.28,2588.96,804.61,4.33,1.30,40.3851,40.4526,0.0677,0.9998,0.9987,1.0078,2.0003,0.9373,1.0000,0,0,0,10,10,10,10
ldapr,after_every,hit,random,2048,1,1000000,10,3.30,1.04,3.24,1.02,-0.08,-0.02,3.3043,3.2379,-0.0772,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldapr,after_every,hit,random,2048,2,1000000,10,5.72,1.79,5.59,1.75,-0.12,-0.04,2.8618,2.7974,-0.0618,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldapr,after_every,hit,random,2048,4,1000000,10,10.65,3.32,10.58,3.30,-0.08,-0.02,2.6618,2.6443,-0.0208,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldapr,after_every,hit,random,2048,8,1000000,10,21.26,6.61,20.98,6.53,-0.30,-0.09,2.6571,2.6229,-0.0374,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldapr,after_every,hit,random,2048,16,1000000,10,42.63,13.24,42.93,13.33,0.27,0.09,2.6643,2.6831,0.0170,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldapr,after_every,hit,random,2048,32,1000000,10,86.27,26.78,85.10,26.41,-1.14,-0.37,2.6958,2.6593,-0.0355,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldapr,after_every,hit,random,2048,64,1000000,10,172.83,53.63,170.77,52.99,-2.06,-0.64,2.7005,2.6683,-0.0321,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
