treatment,placement,condition,pattern,ws_bytes,stores,iters,warmup,repeat,core,numa_bind,n_access,base_cyc,base_ns,base_l1,base_l2,base_ll,base_mem,base_stall,base_enabled,base_running,base_cs,base_mig,base_pf,base_gate,treat_cyc,treat_ns,treat_gate
ldar,after_group,miss,random,536870912,1,1000000,0,0,0,0,1000000,54710118,17096640,1000566,1023469,1054318,2000272,50914992,17062304,17062304,0,0,0,PASS,46374435,14463968,PASS
ldar,after_group,miss,random,536870912,1,1000000,0,1,0,0,1000000,44611806,13921536,999865,886693,1211548,2000271,39848228,45416160,45416160,0,0,0,PASS,42449671,13266624,PASS
ldar,after_group,miss,random,536870912,1,1000000,0,2,0,0,1000000,43107643,13451136,999940,869173,1229104,2000289,38436627,72100512,72100512,0,0,0,PASS,41998582,13116448,PASS
ldar,after_group,miss,random,536870912,1,1000000,0,3,0,0,1000000,43068956,13450944,999876,873798,1243254,2000277,38281662,98630880,98630880,0,0,0,PASS,41969203,13097792,PASS
ldar,after_group,miss,random,536870912,1,1000000,0,4,0,0,1000000,42669285,13311808,999886,882912,1236653,2000265,37943997,125006176,125006176,0,0,0,PASS,41422425,12943424,PASS
ldar,after_group,miss,random,536870912,1,1000000,0,5,0,0,1000000,41937567,13082976,999866,888137,1255678,2000239,37239964,150998048,150998048,0,0,0,PASS,40699195,12713920,PASS
ldar,after_group,miss,random,536870912,1,1000000,0,6,0,0,1000000,41387109,12916480,999920,893882,1249544,2000285,36754824,176595552,176595552,0,0,0,PASS,40082437,12497536,PASS
ldar,after_group,miss,random,536870912,1,1000000,0,7,0,0,1000000,40472017,12621632,999891,896343,1252929,2000259,35880179,201681792,201681792,0,0,0,PASS,39215288,12232064,PASS
ldar,after_group,miss,random,536870912,1,1000000,0,8,0,0,1000000,39787397,12407456,999879,899177,1256014,2000240,35206922,226289184,226289184,0,0,0,PASS,38636865,12053984,PASS
ldar,after_group,miss,random,536870912,1,1000000,0,9,0,0,1000000,38860759,12117792,999910,898857,1253294,2000261,34311117,250428224,250428224,0,0,0,PASS,37644178,11738112,PASS
ldar,after_group,miss,random,536870912,2,1000000,0,0,0,0,2000000,95948387,29930336,1999582,2048878,2109272,4000591,89598125,29888672,29888672,0,0,0,PASS,91826839,28604608,PASS
ldar,after_group,miss,random,536870912,2,1000000,0,1,0,0,2000000,87443287,27249568,1999694,2003917,2446391,4000589,81027925,85712640,85712640,0,0,0,PASS,88604744,27607968,PASS
ldar,after_group,miss,random,536870912,2,1000000,0,2,0,0,2000000,85867364,26748128,1999727,1998310,2509550,4000619,79532451,140033984,140033984,0,0,0,PASS,87538221,27263136,PASS
ldar,after_group,miss,random,536870912,2,1000000,0,3,0,0,2000000,84593981,26359712,1999754,2013495,2510538,4000663,78350399,193621088,193621088,0,0,0,PASS,85974292,26781600,PASS
ldar,after_group,miss,random,536870912,2,1000000,0,4,0,0,2000000,83342536,25963392,1999774,2013318,2507819,4000623,77152989,246333248,246333248,0,0,0,PASS,85130978,26515264,PASS
ldar,after_group,miss,random,536870912,2,1000000,0,5,0,0,2000000,82424739,25786400,1999789,2016186,2514737,4000656,76271066,298508704,298508704,0,0,0,PASS,84034946,26168192,PASS
ldar,after_group,miss,random,536870912,2,1000000,0,6,0,0,2000000,81381595,25381568,1999754,2021977,2547777,4000586,75239046,349996192,349996192,0,0,0,PASS,83229368,25919616,PASS
ldar,after_group,miss,random,536870912,2,1000000,0,7,0,0,2000000,80800229,25165696,1999734,2020760,2537426,4000593,74696010,401049504,401049504,0,0,0,PASS,82639460,25728256,PASS
ldar,after_group,miss,random,536870912,2,1000000,0,8,0,0,2000000,80382871,25029664,1999771,2021545,2542519,4000621,74286070,451771584,451771584,0,0,0,PASS,82344737,25648096,PASS
ldar,after_group,miss,random,536870912,2,1000000,0,9,0,0,2000000,80073403,24935968,1999761,2019198,2537535,4000620,73998173,502323520,502323520,0,0,0,PASS,82029174,25537792,PASS
ldar,after_group,miss,random,536870912,4,1000000,0,0,0,0,4000000,175257262,54577632,3998998,4052834,4135609,8001108,163924318,54550688,54550688,0,0,0,PASS,174604746,54329760,PASS
ldar,after_group,miss,random,536870912,4,1000000,0,1,0,0,4000000,174185074,54187872,3999330,4100764,4398280,8001146,162965179,163031872,163031872,0,0,0,PASS,174200849,54232928,PASS
ldar,after_group,miss,random,536870912,4,1000000,0,2,0,0,4000000,173809307,54098528,3999127,4101336,4370295,8001180,162608678,271277824,271277824,0,0,0,PASS,174592645,54318112,PASS
ldar,after_group,miss,random,536870912,4,1000000,0,3,0,0,4000000,174351660,54245408,3999119,4153991,4556512,8001120,163188522,379799968,379799968,0,0,0,PASS,174627481,54353792,PASS
ldar,after_group,miss,random,536870912,4,1000000,0,4,0,0,4000000,173986297,54180384,3999143,4159253,4594872,8001174,162830585,488257760,488257760,0,0,0,PASS,174331012,54229408,PASS
ldar,after_group,miss,random,536870912,4,1000000,0,5,0,0,4000000,173346244,53918336,3999108,4138254,4492843,8001125,162227387,596365760,596365760,0,0,0,PASS,173661317,54006880,PASS
ldar,after_group,miss,random,536870912,4,1000000,0,6,0,0,4000000,173183205,53868992,3999153,4148192,4551271,8001153,162088333,704204640,704204640,0,0,0,PASS,173565392,54042400,PASS
ldar,after_group,miss,random,536870912,4,1000000,0,7,0,0,4000000,172743324,53726656,3999154,4144068,4530230,8001151,161660317,811894656,811894656,0,0,0,PASS,173051265,53829888,PASS
ldar,after_group,miss,random,536870912,4,1000000,0,8,0,0,4000000,172405815,53646080,3999201,4166385,4613317,8001173,161373953,919330784,919330784,0,0,0,PASS,172416037,53631904,PASS
ldar,after_group,miss,random,536870912,4,1000000,0,9,0,0,4000000,171489849,53380320,3999159,4160167,4600477,8001143,160493307,1026296320,1026296320,0,0,0,PASS,171756984,53439392,PASS
ldar,after_group,miss,random,536870912,8,1000000,0,0,0,0,8000000,338161290,105303232,7998023,8121949,8316272,16002270,316704433,105233856,105233856,0,0,0,PASS,337364201,104920544,PASS
ldar,after_group,miss,random,536870912,8,1000000,0,1,0,0,8000000,334768143,104124576,7997971,8028802,8130966,16002222,313351359,314223584,314223584,0,0,0,PASS,336027734,104504320,PASS
ldar,after_group,miss,random,536870912,8,1000000,0,2,0,0,8000000,333756083,103774688,7998032,8048973,8158733,16002219,312438889,522448704,522448704,0,0,0,PASS,335290848,104272000,PASS
ldar,after_group,miss,random,536870912,8,1000000,0,3,0,0,8000000,333128247,103672512,7998046,8099828,8281415,16002267,311912171,730253088,730253088,0,0,0,PASS,333745021,103764096,PASS
ldar,after_group,miss,random,536870912,8,1000000,0,4,0,0,8000000,332012983,103237440,7998082,8074849,8212311,16002276,310833785,937218400,937218400,0,0,0,PASS,333184634,103639616,PASS
ldar,after_group,miss,random,536870912,8,1000000,0,5,0,0,8000000,330593715,102767232,7998111,8036140,8146822,16002310,309468470,1143555040,1143555040,0,0,0,PASS,331990230,103202144,PASS
ldar,after_group,miss,random,536870912,8,1000000,0,6,0,0,8000000,330200691,102651424,7998113,8067167,8192442,16002362,309141600,1349373728,1349373728,0,0,0,PASS,332032013,103225952,PASS
ldar,after_group,miss,random,536870912,8,1000000,0,7,0,0,8000000,329004508,102277216,7998119,8031667,8135605,16002259,307973434,1554839936,1554839936,0,0,0,PASS,329533979,102485120,PASS
ldar,after_group,miss,random,536870912,8,1000000,0,8,0,0,8000000,327759069,101905344,7998144,7990281,8069753,16002299,306741519,1759163264,1759163264,0,0,0,PASS,329554802,102440896,PASS
ldar,after_group,miss,random,536870912,8,1000000,0,9,0,0,8000000,329135378,102336576,7998112,7991367,8072598,16002274,308045287,1963905056,1963905056,0,0,0,PASS,329590745,102482464,PASS
ldar,after_group,miss,random,536870912,16,1000000,0,0,0,0,16000000,656576093,204303744,15995701,16181116,16579637,32004288,615076692,204258720,204258720,0,0,0,PASS,650843360,202364000,PASS
ldar,after_group,miss,random,536870912,16,1000000,0,1,0,0,16000000,648768383,201858016,15995924,16000339,16146941,32004435,607486095,608344544,608344544,0,0,0,PASS,648146109,201563744,PASS
ldar,after_group,miss,random,536870912,16,1000000,0,2,0,0,16000000,647610380,201410848,15995953,15998190,16147991,32004457,606425147,1011217888,1011217888,0,0,0,PASS,647138229,201154976,PASS
ldar,after_group,miss,random,536870912,16,1000000,0,3,0,0,16000000,646111447,200939712,15995932,16000773,16166715,32004440,605015571,1413253024,1413253024,0,0,0,PASS,646251645,201024064,PASS
ldar,after_group,miss,random,536870912,16,1000000,0,4,0,0,16000000,645655771,200732096,15996024,15998241,16142812,32004513,604604904,1814910976,1814910976,0,0,0,PASS,645633390,200743008,PASS
ldar,after_group,miss,random,536870912,16,1000000,0,5,0,0,16000000,645261726,200657792,15996033,16000321,16145128,32004532,604223494,2216227424,2216227424,0,0,0,PASS,645459236,200673696,PASS
ldar,after_group,miss,random,536870912,16,1000000,0,6,0,0,16000000,644930793,200659712,15996008,15996255,16148282,32004513,603905027,2617407840,2617407840,0,0,0,PASS,645155904,200552224,PASS
