treatment,placement,condition,pattern,ws_bytes,stores,iters,repeats,base_cyc_iter,base_ns_iter,var_cyc_iter,var_ns_iter,incr_cyc_iter,incr_ns_iter,base_cyc_op,var_cyc_op,incr_cyc_op,base_l1_acc,base_l2_acc,base_ll_acc,base_mem_acc,base_stall_frac,base_mux,base_cs,base_mig,base_pf,base_pass,base_tot,treat_pass,treat_tot
ldar,after_group,miss,random,536870912,1,1000000,10,42.67,13.31,41.42,12.94,-1.24,-0.37,42.6693,41.4224,-1.2384,0.9999,0.8939,1.2495,2.0003,0.8888,1.0000,0,0,0,10,10,10,10
ldar,after_group,miss,random,536870912,2,1000000,10,83.34,25.96,85.13,26.52,1.79,0.54,41.6713,42.5655,0.8942,0.9999,1.0096,1.2574,2.0003,0.9257,1.0000,0,0,0,10,10,10,10
ldar,after_group,miss,random,536870912,4,1000000,10,173.81,54.10,174.20,54.23,0.31,0.09,43.4523,43.5502,0.0770,0.9998,1.0370,1.1378,2.0003,0.9359,1.0000,0,0,0,10,10,10,10
ldar,after_group,miss,random,536870912,8,1000000,10,332.01,103.24,333.18,103.64,1.26,0.40,41.5016,41.6481,0.1574,0.9998,1.0061,1.0198,2.0003,0.9361,1.0000,0,0,0,10,10,10,10
ldar,after_group,miss,random,536870912,16,1000000,10,645.66,200.73,645.63,200.74,0.20,0.02,40.3535,40.3521,0.0123,0.9997,1.0000,1.0092,2.0003,0.9364,1.0000,0,0,0,10,10,10,10
ldar,after_group,miss,random,536870912,32,1000000,10,1291.58,401.59,1291.36,401.46,-0.33,-0.13,40.3617,40.3551,-0.0102,0.9998,0.9987,1.0081,2.0003,0.9369,1.0000,0,0,0,10,10,10,10
ldar,after_group,miss,random,536870912,64,1000000,10,2586.75,804.06,2587.16,804.24,0.39,0.19,40.4179,40.4244,0.0060,0.9998,0.9986,1.0084,2.0003,0.9373,1.0000,0,0,0,10,10,10,10
ldar,after_group,hit,random,2048,1,1000000,10,3.30,1.04,3.26,1.03,-0.03,-0.01,3.3034,3.2575,-0.0289,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldar,after_group,hit,random,2048,2,1000000,10,5.78,1.81,5.83,1.82,0.03,0.01,2.8908,2.9146,0.0175,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldar,after_group,hit,random,2048,4,1000000,10,10.68,3.32,10.58,3.30,-0.08,-0.02,2.6690,2.6457,-0.0208,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldar,after_group,hit,random,2048,8,1000000,10,21.50,6.69,20.68,6.44,-0.81,-0.26,2.6881,2.5855,-0.1014,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldar,after_group,hit,random,2048,16,1000000,10,42.59,13.23,42.48,13.19,-0.13,-0.03,2.6616,2.6547,-0.0083,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldar,after_group,hit,random,2048,32,1000000,10,86.24,26.76,85.48,26.53,-0.75,-0.24,2.6949,2.6714,-0.0236,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldar,after_group,hit,random,2048,64,1000000,10,173.58,53.86,173.74,53.89,0.18,0.04,2.7122,2.7147,0.0028,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldar,after_every,miss,random,536870912,1,1000000,10,45.38,14.15,45.40,14.15,-0.11,-0.04,45.3835,45.4025,-0.1055,0.9999,1.0168,2.0613,2.0003,0.8982,1.0000,0,0,0,10,10,10,10
ldar,after_every,miss,random,536870912,2,1000000,10,85.73,26.70,87.34,27.19,0.71,0.22,42.8659,43.6704,0.3553,0.9999,1.0027,1.2422,2.0003,0.9264,1.0000,0,0,0,10,10,10,10
ldar,after_every,miss,random,536870912,4,1000000,10,176.89,55.05,177.32,55.16,0.21,0.05,44.2226,44.3294,0.0531,0.9998,1.1252,1.6577,2.0003,0.9376,1.0000,0,0,0,10,10,10,10
ldar,after_every,miss,random,536870912,8,1000000,10,330.61,102.77,330.81,102.95,0.21,0.10,41.3258,41.3516,0.0258,0.9998,1.0033,1.0175,2.0003,0.9360,1.0000,0,0,0,10,10,10,10
ldar,after_every,miss,random,536870912,16,1000000,10,645.06,200.51,646.10,200.95,1.01,0.36,40.3163,40.3810,0.0632,0.9998,0.9987,1.0076,2.0003,0.9364,1.0000,0,0,0,10,10,10,10
ldar,after_every,miss,random,536870912,32,1000000,10,1290.51,401.17,1293.12,401.99,2.61,0.81,40.3285,40.4100,0.0815,0.9997,0.9991,1.0075,2.0003,0.9370,1.0000,0,0,0,10,10,10,10
ldar,after_every,miss,random,536870912,64,1000000,10,2583.18,802.74,2587.37,804.14,4.28,1.39,40.3622,40.4277,0.0668,0.9998,0.9991,1.0086,2.0003,0.9373,1.0000,0,0,0,10,10,10,10
ldar,after_every,hit,random,2048,1,1000000,10,3.27,1.03,3.21,1.01,-0.05,-0.02,3.2656,3.2137,-0.0483,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldar,after_every,hit,random,2048,2,1000000,10,5.76,1.80,5.61,1.75,-0.12,-0.04,2.8777,2.8038,-0.0609,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldar,after_every,hit,random,2048,4,1000000,10,10.50,3.27,10.51,3.27,0.01,0.00,2.6256,2.6266,0.0023,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldar,after_every,hit,random,2048,8,1000000,10,21.21,6.60,21.10,6.56,-0.10,-0.04,2.6517,2.6374,-0.0121,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldar,after_every,hit,random,2048,16,1000000,10,42.71,13.28,42.44,13.18,-0.27,-0.08,2.6696,2.6526,-0.0171,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldar,after_every,hit,random,2048,32,1000000,10,86.54,26.86,85.70,26.60,-0.86,-0.26,2.7043,2.6781,-0.0270,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
ldar,after_every,hit,random,2048,64,1000000,10,175.04,54.32,173.44,53.82,-1.60,-0.48,2.7350,2.7100,-0.0250,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0,0,0,10,10,10,10
