condition,N,treatment,placement,repeat,iters,n_access,base_cyc,base_ns,base_cyc_iter,base_ns_iter,base_cyc_op,base_gate
hit,1,dmb_ish,after_every,0,1000000,1000000,3315695,1050400,3.316,1.050,3.3157,PASS
hit,1,dmb_ish,after_every,1,1000000,1000000,3303382,1074464,3.303,1.074,3.3034,PASS
hit,1,dmb_ish,after_every,2,1000000,1000000,3295514,1035136,3.296,1.035,3.2955,PASS
hit,1,dmb_ish,after_every,3,1000000,1000000,3267164,1026464,3.267,1.026,3.2672,PASS
hit,1,dmb_ish,after_every,4,1000000,1000000,3246673,1020160,3.247,1.020,3.2467,PASS
hit,1,dmb_ish,after_every,5,1000000,1000000,3289457,1034080,3.289,1.034,3.2895,PASS
hit,1,dmb_ish,after_every,6,1000000,1000000,3294266,1034848,3.294,1.035,3.2943,PASS
hit,1,dmb_ish,after_every,7,1000000,1000000,3266907,1026560,3.267,1.027,3.2669,PASS
hit,1,dmb_ish,after_every,8,1000000,1000000,3244498,1059360,3.244,1.059,3.2445,PASS
hit,1,dmb_ish,after_every,9,1000000,1000000,3298498,1036416,3.298,1.036,3.2985,PASS
hit,1,dmb_ish,after_group,0,1000000,1000000,3332433,1058912,3.332,1.059,3.3324,PASS
hit,1,dmb_ish,after_group,1,1000000,1000000,3318955,1043872,3.319,1.044,3.3190,PASS
hit,1,dmb_ish,after_group,2,1000000,1000000,3270327,1028448,3.270,1.028,3.2703,PASS
hit,1,dmb_ish,after_group,3,1000000,1000000,3265554,1026016,3.266,1.026,3.2656,PASS
hit,1,dmb_ish,after_group,4,1000000,1000000,3259972,1026560,3.260,1.027,3.2600,PASS
hit,1,dmb_ish,after_group,5,1000000,1000000,3305447,1040160,3.305,1.040,3.3054,PASS
hit,1,dmb_ish,after_group,6,1000000,1000000,3292848,1035648,3.293,1.036,3.2928,PASS
hit,1,dmb_ish,after_group,7,1000000,1000000,3346073,1050944,3.346,1.051,3.3461,PASS
hit,1,dmb_ish,after_group,8,1000000,1000000,3319544,1043168,3.320,1.043,3.3195,PASS
hit,1,dmb_ish,after_group,9,1000000,1000000,3321319,1044736,3.321,1.045,3.3213,PASS
hit,1,dmb_ishld,after_every,0,1000000,1000000,3359339,1092736,3.359,1.093,3.3593,PASS
hit,1,dmb_ishld,after_every,1,1000000,1000000,3315015,1042592,3.315,1.043,3.3150,PASS
hit,1,dmb_ishld,after_every,2,1000000,1000000,3293788,1034848,3.294,1.035,3.2938,PASS
hit,1,dmb_ishld,after_every,3,1000000,1000000,3238824,1018016,3.239,1.018,3.2388,PASS
hit,1,dmb_ishld,after_every,4,1000000,1000000,3261479,1025408,3.261,1.025,3.2615,PASS
hit,1,dmb_ishld,after_every,5,1000000,1000000,3283001,1031136,3.283,1.031,3.2830,PASS
hit,1,dmb_ishld,after_every,6,1000000,1000000,3302331,1038432,3.302,1.038,3.3023,PASS
hit,1,dmb_ishld,after_every,7,1000000,1000000,3303989,1038592,3.304,1.039,3.3040,PASS
hit,1,dmb_ishld,after_every,8,1000000,1000000,3337105,1048416,3.337,1.048,3.3371,PASS
hit,1,dmb_ishld,after_every,9,1000000,1000000,3280291,1030720,3.280,1.031,3.2803,PASS
hit,1,dmb_ishld,after_group,0,1000000,1000000,3311798,1049696,3.312,1.050,3.3118,PASS
hit,1,dmb_ishld,after_group,1,1000000,1000000,3240398,1018560,3.240,1.019,3.2404,PASS
hit,1,dmb_ishld,after_group,2,1000000,1000000,3315898,1041344,3.316,1.041,3.3159,PASS
hit,1,dmb_ishld,after_group,3,1000000,1000000,3275901,1030080,3.276,1.030,3.2759,PASS
hit,1,dmb_ishld,after_group,4,1000000,1000000,3260034,1024704,3.260,1.025,3.2600,PASS
hit,1,dmb_ishld,after_group,5,1000000,1000000,3386823,1064544,3.387,1.065,3.3868,PASS
hit,1,dmb_ishld,after_group,6,1000000,1000000,3303792,1038208,3.304,1.038,3.3038,PASS
hit,1,dmb_ishld,after_group,7,1000000,1000000,3272470,1027840,3.272,1.028,3.2725,PASS
hit,1,dmb_ishld,after_group,8,1000000,1000000,3341907,1049536,3.342,1.050,3.3419,PASS
hit,1,dmb_ishld,after_group,9,1000000,1000000,3219846,1011456,3.220,1.011,3.2198,PASS
hit,1,dmb_ld,after_every,0,1000000,1000000,3332086,1077184,3.332,1.077,3.3321,PASS
hit,1,dmb_ld,after_every,1,1000000,1000000,3317009,1042720,3.317,1.043,3.3170,PASS
hit,1,dmb_ld,after_every,2,1000000,1000000,3223902,1013344,3.224,1.013,3.2239,PASS
hit,1,dmb_ld,after_every,3,1000000,1000000,3282928,1032128,3.283,1.032,3.2829,PASS
hit,1,dmb_ld,after_every,4,1000000,1000000,3281903,1031072,3.282,1.031,3.2819,PASS
hit,1,dmb_ld,after_every,5,1000000,1000000,3296597,1037504,3.297,1.038,3.2966,PASS
hit,1,dmb_ld,after_every,6,1000000,1000000,3312489,1040480,3.312,1.040,3.3125,PASS
hit,1,dmb_ld,after_every,7,1000000,1000000,3266201,1026144,3.266,1.026,3.2662,PASS
hit,1,dmb_ld,after_every,8,1000000,1000000,3230727,1015200,3.231,1.015,3.2307,PASS
hit,1,dmb_ld,after_every,9,1000000,1000000,3309207,1039680,3.309,1.040,3.3092,PASS
hit,1,dmb_ld,after_group,0,1000000,1000000,3380091,1067520,3.380,1.068,3.3801,PASS
hit,1,dmb_ld,after_group,1,1000000,1000000,3252985,1024928,3.253,1.025,3.2530,PASS
hit,1,dmb_ld,after_group,2,1000000,1000000,3315159,1041504,3.315,1.042,3.3152,PASS
hit,1,dmb_ld,after_group,3,1000000,1000000,3305612,1039200,3.306,1.039,3.3056,PASS
hit,1,dmb_ld,after_group,4,1000000,1000000,3285488,1032320,3.285,1.032,3.2855,PASS
hit,1,dmb_ld,after_group,5,1000000,1000000,3311852,1041216,3.312,1.041,3.3119,PASS
hit,1,dmb_ld,after_group,6,1000000,1000000,3249085,1021184,3.249,1.021,3.2491,PASS
hit,1,dmb_ld,after_group,7,1000000,1000000,3336842,1048288,3.337,1.048,3.3368,PASS
hit,1,dmb_ld,after_group,8,1000000,1000000,3315779,1041760,3.316,1.042,3.3158,PASS
hit,1,dmb_ld,after_group,9,1000000,1000000,3376598,1060576,3.377,1.061,3.3766,PASS
hit,1,dmb_sy,after_every,0,1000000,1000000,3295983,1046432,3.296,1.046,3.2960,PASS
hit,1,dmb_sy,after_every,1,1000000,1000000,3253882,1022816,3.254,1.023,3.2539,PASS
hit,1,dmb_sy,after_every,2,1000000,1000000,3227917,1014976,3.228,1.015,3.2279,PASS
hit,1,dmb_sy,after_every,3,1000000,1000000,3306725,1039072,3.307,1.039,3.3067,PASS
hit,1,dmb_sy,after_every,4,1000000,1000000,3300215,1036960,3.300,1.037,3.3002,PASS
hit,1,dmb_sy,after_every,5,1000000,1000000,3255041,1022688,3.255,1.023,3.2550,PASS
hit,1,dmb_sy,after_every,6,1000000,1000000,3327187,1047680,3.327,1.048,3.3272,PASS
hit,1,dmb_sy,after_every,7,1000000,1000000,3320918,1043584,3.321,1.044,3.3209,PASS
hit,1,dmb_sy,after_every,8,1000000,1000000,3279859,1031136,3.280,1.031,3.2799,PASS
hit,1,dmb_sy,after_every,9,1000000,1000000,3246494,1020224,3.246,1.020,3.2465,PASS
hit,1,dmb_sy,after_group,0,1000000,1000000,3299005,1044000,3.299,1.044,3.2990,PASS
