name,kind,threads,repeats,base_cyc_op,treat_cyc_op,incr_cyc_op,base_ns_op,treat_ns_op,incr_ns_op,base_l1_op,treat_l1_op,treat_remote_op,treat_stall_frac,mux,pin_ok,overlap_ok,base_cyc_op_min,base_cyc_op_max,base_cyc_op_std,base_ns_op_min,base_ns_op_max,base_ns_op_std
ldadd,acquire,1,15,13.376,13.411,0.031,4.1569,4.1678,0.0059,0.0000,0.0000,0.0000,0.0000,1.0000,1,1,13.252,13.500,0.073,4.1190,4.2034,0.0245
ldadd,acquire,2,15,35.830,35.986,0.165,11.1202,11.1706,0.0495,0.0974,0.0979,0.0000,0.5579,1.0000,1,1,35.136,36.349,0.340,10.9077,11.2830,0.1053
ldadd,acquire,4,15,73.667,73.705,0.047,22.8652,22.8743,0.0150,0.1000,0.1000,0.0000,0.7829,1.0000,1,1,73.420,73.745,0.092,22.7871,22.8938,0.0306
ldadd,acquire,8,15,150.386,150.568,0.113,46.6771,46.7396,0.0684,0.1077,0.1080,0.0000,0.8915,1.0000,1,1,146.820,151.605,1.254,45.5694,47.0929,0.3955
ldadd,release,1,15,13.376,13.376,0.100,4.1562,4.1572,0.0160,0.0000,0.0000,0.0000,0.0000,1.0000,1,1,13.120,13.500,0.129,4.0774,4.1945,0.0385
ldadd,release,2,15,41.452,41.451,-0.183,12.8685,12.8665,-0.0574,0.1223,0.1220,0.0000,0.6004,1.0000,1,1,41.254,41.821,0.198,12.8062,13.0063,0.0649
ldadd,release,4,15,70.552,70.581,0.084,21.8948,21.9016,0.0265,0.0840,0.0840,0.0000,0.7777,1.0000,1,1,70.286,70.786,0.135,21.8139,21.9706,0.0425
ldadd,release,8,15,146.848,146.789,-0.152,45.5822,45.5684,-0.0169,0.0834,0.0834,0.0000,0.8942,1.0000,1,1,146.340,147.174,0.238,45.4633,45.6757,0.0635
ldadd,acqrel,1,15,13.372,13.354,-0.021,4.1543,4.1495,-0.0022,0.0000,0.0000,0.0000,0.0000,1.0000,1,1,13.130,13.500,0.118,4.0798,4.1972,0.0362
ldadd,acqrel,2,15,42.870,42.898,0.034,13.3066,13.3129,0.0082,0.1286,0.1289,0.0000,0.6063,1.0000,1,1,42.494,43.170,0.209,13.2003,13.3980,0.0623
ldadd,acqrel,4,15,72.693,72.864,0.124,22.5774,22.6082,0.0374,0.0817,0.0820,0.0000,0.7861,1.0000,1,1,72.466,73.028,0.159,22.4910,22.6747,0.0495
ldadd,acqrel,8,15,148.099,147.666,-0.080,45.9589,45.8416,-0.0183,0.1035,0.1034,0.0000,0.8900,1.0000,1,1,147.185,148.456,0.354,45.6814,46.0771,0.1105
ldadd,seqcst,1,15,13.376,13.376,-0.086,4.1690,4.1559,-0.0237,0.0000,0.0000,0.0000,0.0000,1.0000,1,1,13.197,13.500,0.099,4.0999,4.2027,0.0309
ldadd,seqcst,2,15,36.030,36.098,0.055,11.1850,11.2037,0.0044,0.0839,0.0839,0.0000,0.5664,1.0000,1,1,35.908,36.299,0.112,11.1494,11.2759,0.0336
ldadd,seqcst,4,15,70.154,70.301,-0.007,21.7981,21.8165,-0.0011,0.0755,0.0756,0.0000,0.7811,1.0000,1,1,69.782,71.190,0.416,21.6569,22.0983,0.1290
ldadd,seqcst,8,15,149.744,149.655,-0.103,46.4827,46.4636,-0.0307,0.1000,0.1000,0.0000,0.8925,1.0000,1,1,149.340,150.066,0.190,46.3694,46.5850,0.0548
swp,acquire,1,15,13.278,13.466,0.187,4.1264,4.1841,0.0580,0.0000,0.0000,0.0000,0.0000,1.0000,1,1,13.278,13.278,0.000,4.1246,4.1308,0.0016
swp,acquire,2,15,35.657,36.389,0.733,11.0683,11.2952,0.2271,0.0832,0.0845,0.0000,0.5660,1.0000,1,1,35.629,35.660,0.007,11.0662,11.0848,0.0062
swp,acquire,4,15,70.531,70.228,-0.295,21.8908,21.7989,-0.0938,0.0909,0.0909,0.0000,0.7726,1.0000,1,1,70.434,70.613,0.053,21.8609,21.9137,0.0162
