treatment,placement,condition,pattern,ws_bytes,stores,iters,warmup,repeat,core,numa_bind,n_access,base_cyc,base_ns,base_l1,base_l2,base_ll,base_mem,base_stall,base_enabled,base_running,base_cs,base_mig,base_pf,base_gate,treat_cyc,treat_ns,treat_gate
cas,acquire,miss,random,536870912,1,1000000,0,0,0,0,1000000,70987888,22116896,1000803,1033314,1076434,4000470,65852403,22102592,22102592,0,0,0,PASS,57521006,17933600,PASS
cas,acquire,miss,random,536870912,1,1000000,0,1,0,0,1000000,50191248,15663168,1002531,912330,1335828,4000420,42351101,55669344,55669344,0,0,0,PASS,51947665,16198400,PASS
cas,acquire,miss,random,536870912,1,1000000,0,2,0,0,1000000,49282285,15362976,1003124,902978,1385511,4000371,41114999,87200768,87200768,0,0,0,PASS,51654795,16146560,PASS
cas,acquire,miss,random,536870912,1,1000000,0,3,0,0,1000000,49162827,15323648,1002975,903609,1390408,4000410,40685242,118608640,118608640,0,0,0,PASS,51842237,16149152,PASS
cas,acquire,miss,random,536870912,1,1000000,0,4,0,0,1000000,49335900,15371552,1002910,910463,1390827,4000389,40720593,150102176,150102176,0,0,0,PASS,51751411,16121056,PASS
cas,acquire,miss,random,536870912,1,1000000,0,5,0,0,1000000,49269557,15356064,1003067,915756,1405299,4000388,40642535,181552224,181552224,0,0,0,PASS,51682875,16102080,PASS
cas,acquire,miss,random,536870912,1,1000000,0,6,0,0,1000000,48811319,15207328,1003114,916205,1402613,4000365,40098274,212833184,212833184,0,0,0,PASS,50820848,15876736,PASS
cas,acquire,miss,random,536870912,1,1000000,0,7,0,0,1000000,47850549,14911008,1003050,917983,1395482,4000358,39084585,243561568,243561568,0,0,0,PASS,49773421,15503904,PASS
cas,acquire,miss,random,536870912,1,1000000,0,8,0,0,1000000,47059534,14666112,1003060,917981,1403009,4000387,38279516,273701856,273701856,0,0,0,PASS,48939057,15246592,PASS
cas,acquire,miss,random,536870912,1,1000000,0,9,0,0,1000000,46069025,14354752,1002874,920695,1407669,4000371,37264455,303275840,303275840,0,0,0,PASS,46734720,14557760,PASS
cas,acquire,miss,random,536870912,2,1000000,0,0,0,0,2000000,128970671,40162496,2001888,2085135,2199040,8000995,119012847,40143488,40143488,0,0,0,PASS,115823761,36052288,PASS
cas,acquire,miss,random,536870912,2,1000000,0,1,0,0,2000000,111599801,34747840,2006083,2091088,2997001,8000927,99773850,110915392,110915392,0,0,0,PASS,111745069,34813408,PASS
cas,acquire,miss,random,536870912,2,1000000,0,2,0,0,2000000,111862015,34897952,2006533,2098727,3094169,8000944,99863221,180555712,180555712,0,0,0,PASS,110480526,34385472,PASS
cas,acquire,miss,random,536870912,2,1000000,0,3,0,0,2000000,109990366,34280960,2006291,2102562,3056510,8000957,97920601,249157248,249157248,0,0,0,PASS,109735999,34190208,PASS
cas,acquire,miss,random,536870912,2,1000000,0,4,0,0,2000000,109265865,34038624,2006066,2101098,3043569,8000970,97256239,317348864,317348864,0,0,0,PASS,109151193,33978208,PASS
cas,acquire,miss,random,536870912,2,1000000,0,5,0,0,2000000,108625228,33806752,2006378,2106648,3066233,8000887,96447076,385102432,385102432,0,0,0,PASS,108440195,33744384,PASS
cas,acquire,miss,random,536870912,2,1000000,0,6,0,0,2000000,108433288,33745152,2006219,2108154,3061251,8000930,96290452,452561664,452561664,0,0,0,PASS,108402082,33731648,PASS
cas,acquire,miss,random,536870912,2,1000000,0,7,0,0,2000000,108424045,33733088,2005730,2104765,3036191,8000933,96355223,519995616,519995616,0,0,0,PASS,108375045,33728352,PASS
cas,acquire,miss,random,536870912,2,1000000,0,8,0,0,2000000,108517074,33827424,2006043,2113518,3093611,8000920,96432853,587472768,587472768,0,0,0,PASS,108306092,33703264,PASS
cas,acquire,miss,random,536870912,2,1000000,0,9,0,0,2000000,109042586,33939264,2006041,2109708,3079091,8000939,96994382,655084672,655084672,0,0,0,PASS,108247157,33682656,PASS
cas,acquire,miss,random,536870912,4,1000000,0,0,0,0,4000000,237917946,74024480,4003823,4049785,4123548,16001882,219385317,73999392,73999392,0,0,0,PASS,236283111,73470496,PASS
cas,acquire,miss,random,536870912,4,1000000,0,1,0,0,4000000,236782808,73640704,4005708,4109695,4346888,16002008,217985804,221058464,221058464,0,0,0,PASS,237155059,73727392,PASS
cas,acquire,miss,random,536870912,4,1000000,0,2,0,0,4000000,237078219,73752448,4005953,4130860,4444985,16001933,218185911,368482560,368482560,0,0,0,PASS,237361811,73810176,PASS
cas,acquire,miss,random,536870912,4,1000000,0,3,0,0,4000000,237234426,73761760,4006189,4138260,4473614,16001942,218339001,516012512,516012512,0,0,0,PASS,237448391,73814336,PASS
cas,acquire,miss,random,536870912,4,1000000,0,4,0,0,4000000,237342592,73823872,4006352,4143329,4482499,16001902,218475021,663592384,663592384,0,0,0,PASS,238801378,74290112,PASS
cas,acquire,miss,random,536870912,4,1000000,0,5,0,0,4000000,238201742,74150016,4006429,4151255,4497003,16001889,219282259,811949120,811949120,0,0,0,PASS,237481116,73874944,PASS
cas,acquire,miss,random,536870912,4,1000000,0,6,0,0,4000000,237351668,73826080,4006270,4145254,4473709,16001958,218516746,959563072,959563072,0,0,0,PASS,238099493,74048736,PASS
cas,acquire,miss,random,536870912,4,1000000,0,7,0,0,4000000,238048702,74039136,4006710,4173160,4560051,16001903,219159527,1107600096,1107600096,0,0,0,PASS,237715469,73929952,PASS
cas,acquire,miss,random,536870912,4,1000000,0,8,0,0,4000000,237766638,73918304,4006752,4164301,4530379,16001989,218879524,1255394112,1255394112,0,0,0,PASS,238087891,74076448,PASS
cas,acquire,miss,random,536870912,4,1000000,0,9,0,0,4000000,238291868,74110912,4007256,4191540,4643955,16001992,219393228,1403522624,1403522624,0,0,0,PASS,238241508,74150048,PASS
cas,acquire,miss,random,536870912,8,1000000,0,0,0,0,8000000,470780902,146414656,8008138,8238561,8635370,32003880,434261248,146391200,146391200,0,0,0,PASS,470257615,146227136,PASS
cas,acquire,miss,random,536870912,8,1000000,0,1,0,0,8000000,469181725,145956960,8007707,8162539,8454712,32003805,432659845,438427456,438427456,0,0,0,PASS,468295223,145528896,PASS
cas,acquire,miss,random,536870912,8,1000000,0,2,0,0,8000000,466886662,145096256,8007469,8045503,8155456,32003968,430376365,729020096,729020096,0,0,0,PASS,467864661,145424832,PASS
cas,acquire,miss,random,536870912,8,1000000,0,3,0,0,8000000,468039582,145462560,8007805,8105993,8278936,32003867,431540290,1019847520,1019847520,0,0,0,PASS,467836550,145360128,PASS
cas,acquire,miss,random,536870912,8,1000000,0,4,0,0,8000000,467651117,145311296,8007359,8091321,8249115,32003887,431145775,1310481056,1310481056,0,0,0,PASS,467927781,145408384,PASS
cas,acquire,miss,random,536870912,8,1000000,0,5,0,0,8000000,468212028,145525088,8007406,8121899,8361267,32003833,431707940,1601331360,1601331360,0,0,0,PASS,468149387,145491520,PASS
cas,acquire,miss,random,536870912,8,1000000,0,6,0,0,8000000,468497245,145626112,8007545,8137359,8377187,32003925,431987580,1892412608,1892412608,0,0,0,PASS,468453574,145658368,PASS
cas,acquire,miss,random,536870912,8,1000000,0,7,0,0,8000000,468113952,145475552,8007395,8117190,8313449,32003973,431601808,2183440928,2183440928,0,0,0,PASS,467922224,145452896,PASS
cas,acquire,miss,random,536870912,8,1000000,0,8,0,0,8000000,466532886,144995392,8007271,8043273,8142961,32003877,430030331,2473806976,2473806976,0,0,0,PASS,467026726,145310144,PASS
cas,acquire,miss,random,536870912,8,1000000,0,9,0,0,8000000,467379189,145281504,8006983,8092716,8272644,32003903,430878504,2764264736,2764264736,0,0,0,PASS,468937882,145742336,PASS
