treatment,placement,condition,pattern,ws_bytes,stores,iters,repeats,base_cyc_iter,base_ns_iter,var_cyc_iter,var_ns_iter,incr_cyc_iter,incr_ns_iter,base_cyc_op,var_cyc_op,incr_cyc_op,base_l1_acc,base_l2_acc,base_ll_acc,base_mem_acc,base_stall_frac,base_mux,base_cs,base_mig,base_pf,base_pass,base_tot,treat_pass,treat_tot
cas,acquire,miss,random,536870912,1,1000000,10,49.27,15.36,51.68,16.12,2.01,0.67,49.2696,51.6829,2.0095,1.0030,0.9162,1.3955,4.0004,0.8254,1.0000,0,0,0,10,10,10,10
cas,acquire,miss,random,536870912,2,1000000,10,109.27,34.04,109.15,33.98,-0.19,-0.06,54.6329,54.5756,-0.0925,1.0030,1.0524,1.5306,4.0005,0.8901,1.0000,0,0,0,10,10,10,10
cas,acquire,miss,random,536870912,4,1000000,10,237.77,73.92,237.72,73.93,0.28,0.06,59.4417,59.4289,0.0709,1.0016,1.0363,1.1206,4.0005,0.9206,1.0000,0,0,0,10,10,10,10
cas,acquire,miss,random,536870912,8,1000000,10,468.11,145.48,468.15,145.49,-0.04,0.03,58.5142,58.5187,-0.0055,1.0009,1.0146,1.0392,4.0005,0.9220,1.0000,0,0,0,10,10,10,10
cas,acquire,miss,random,536870912,16,1000000,10,917.35,285.02,917.12,284.93,-0.22,-0.09,57.3343,57.3199,-0.0135,1.0009,0.9987,1.0110,4.0005,0.9225,1.0000,0,0,0,10,10,10,10
cas,acquire,miss,random,536870912,32,1000000,10,1810.08,562.43,1809.86,562.21,-0.62,-0.12,56.5649,56.5581,-0.0194,1.0009,0.9987,1.0090,4.0005,0.9226,1.0000,0,0,0,10,10,10,10
cas,acquire,miss,random,536870912,64,1000000,10,3596.91,1117.56,3595.96,1117.21,-0.96,-0.35,56.2018,56.1868,-0.0149,1.0009,0.9988,1.0095,4.0005,0.9229,1.0000,0,0,0,10,10,10,10
cas,acquire,hit,random,2048,1,1000000,10,16.00,4.98,15.97,4.97,-0.02,-0.01,15.9951,15.9699,-0.0250,0.0000,0.0000,0.0000,4.0002,0.0000,1.0000,0,0,0,10,10,10,10
cas,acquire,hit,random,2048,2,1000000,10,31.46,9.77,31.43,9.76,-0.04,-0.01,15.7313,15.7125,-0.0187,0.0000,0.0000,0.0000,4.0002,0.0000,1.0000,0,0,0,10,10,10,10
cas,acquire,hit,random,2048,4,1000000,10,62.42,19.38,62.39,19.37,-0.04,-0.01,15.6062,15.5971,-0.0090,0.0000,0.0000,0.0000,4.0002,0.0000,1.0000,0,0,0,10,10,10,10
cas,acquire,hit,random,2048,8,1000000,10,124.50,38.63,124.44,38.61,-0.06,-0.02,15.5627,15.5546,-0.0081,0.0000,0.0000,0.0000,4.0002,0.0000,1.0000,0,0,0,10,10,10,10
cas,acquire,hit,random,2048,16,1000000,10,248.54,77.10,248.37,77.05,-0.17,-0.05,15.5338,15.5233,-0.0105,0.0000,0.0000,0.0000,4.0002,0.0000,1.0000,0,0,0,10,10,10,10
cas,acquire,hit,random,2048,32,1000000,10,496.38,153.99,496.09,153.89,-0.29,-0.09,15.5120,15.5028,-0.0092,0.0000,0.0000,0.0000,4.0002,0.0000,1.0000,0,0,0,10,10,10,10
cas,acquire,hit,random,2048,64,1000000,10,992.04,307.69,991.49,307.52,-0.55,-0.18,15.5007,15.4920,-0.0086,0.0000,0.0000,0.0000,4.0002,0.0000,1.0000,0,0,0,10,10,10,10
cas,release,miss,random,536870912,1,1000000,10,47.15,14.71,46.71,14.56,-0.13,-0.05,47.1522,46.7088,-0.1318,1.0031,0.9031,1.2569,4.0004,0.8158,1.0000,0,0,0,10,10,10,10
cas,release,miss,random,536870912,2,1000000,10,109.05,33.93,108.85,33.90,-0.27,-0.07,54.5242,54.4234,-0.1373,1.0034,1.0074,1.2280,4.0005,0.8892,1.0000,0,0,0,10,10,10,10
cas,release,miss,random,536870912,4,1000000,10,238.29,74.11,238.22,74.07,-0.09,-0.04,59.5714,59.5538,-0.0236,1.0015,1.0457,1.1576,4.0005,0.9205,1.0000,0,0,0,10,10,10,10
cas,release,miss,random,536870912,8,1000000,10,465.74,144.73,465.64,144.71,-0.10,-0.02,58.2171,58.2054,-0.0128,1.0009,0.9987,1.0115,4.0005,0.9216,1.0000,0,0,0,10,10,10,10
cas,release,miss,random,536870912,16,1000000,10,917.36,285.04,917.42,285.01,-0.16,0.03,57.3352,57.3389,-0.0100,1.0009,0.9991,1.0092,4.0005,0.9225,1.0000,0,0,0,10,10,10,10
cas,release,miss,random,536870912,32,1000000,10,1810.07,562.37,1810.05,562.36,-0.01,-0.03,56.5648,56.5642,-0.0003,1.0009,0.9987,1.0095,4.0005,0.9226,1.0000,0,0,0,10,10,10,10
cas,release,miss,random,536870912,64,1000000,10,3597.71,1117.64,3597.36,1117.49,-0.39,-0.14,56.2143,56.2087,-0.0061,1.0009,0.9987,1.0093,4.0005,0.9229,1.0000,0,0,0,10,10,10,10
cas,release,hit,random,2048,1,1000000,10,15.99,4.98,15.97,4.97,-0.02,-0.01,15.9950,15.9699,-0.0250,0.0000,0.0000,0.0000,4.0002,0.0000,1.0000,0,0,0,10,10,10,10
cas,release,hit,random,2048,2,1000000,10,31.46,9.77,31.42,9.76,-0.04,-0.01,15.7313,15.7121,-0.0192,0.0000,0.0000,0.0000,4.0002,0.0000,1.0000,0,0,0,10,10,10,10
cas,release,hit,random,2048,4,1000000,10,62.43,19.38,62.39,19.37,-0.04,-0.01,15.6064,15.5972,-0.0092,0.0000,0.0000,0.0000,4.0002,0.0000,1.0000,0,0,0,10,10,10,10
