treatment,placement,condition,pattern,ws_bytes,stores,iters,warmup,repeat,core,numa_bind,n_access,base_cyc,base_ns,base_l1,base_l2,base_ll,base_mem,base_stall,base_enabled,base_running,base_cs,base_mig,base_pf,base_gate,treat_cyc,treat_ns,treat_gate
ldadd,acquire,miss,random,536870912,1,1000000,0,0,0,0,1000000,60063183,18690304,1000980,998535,1001033,3000444,55556797,18675744,18675744,0,0,0,PASS,51565915,16036736,PASS
ldadd,acquire,miss,random,536870912,1,1000000,0,1,0,0,1000000,49529355,15399872,1001450,998373,998612,3000338,44406493,50091616,50091616,0,0,0,PASS,48756956,15173184,PASS
ldadd,acquire,miss,random,536870912,1,1000000,0,2,0,0,1000000,47775567,14865312,1001411,998346,998583,3000331,42501238,80110976,80110976,0,0,0,PASS,47005691,14615680,PASS
ldadd,acquire,miss,random,536870912,1,1000000,0,3,0,0,1000000,46774232,14541440,1001395,998327,998570,3000312,41407534,109249216,109249216,0,0,0,PASS,46659047,14507488,PASS
ldadd,acquire,miss,random,536870912,1,1000000,0,4,0,0,1000000,46477783,14450336,1001390,998314,998566,3000308,41128382,138187872,138187872,0,0,0,PASS,46026327,14315776,PASS
ldadd,acquire,miss,random,536870912,1,1000000,0,5,0,0,1000000,45835917,14248032,1001449,998269,998524,3000309,40430547,166732512,166732512,0,0,0,PASS,45429279,14131744,PASS
ldadd,acquire,miss,random,536870912,1,1000000,0,6,0,0,1000000,45298048,14078592,1001375,998290,998579,3000312,39839406,194923328,194923328,0,0,0,PASS,45132966,14030720,PASS
ldadd,acquire,miss,random,536870912,1,1000000,0,7,0,0,1000000,45149858,14036128,1001418,998329,998628,3000310,39700250,222971424,222971424,0,0,0,PASS,44858546,13945632,PASS
ldadd,acquire,miss,random,536870912,1,1000000,0,8,0,0,1000000,44020106,13685088,1001394,998311,998584,3000311,38493493,250582048,250582048,0,0,0,PASS,43635053,13563296,PASS
ldadd,acquire,miss,random,536870912,1,1000000,0,9,0,0,1000000,43543977,13542592,1001365,998300,998604,3000311,37978892,277669120,277669120,0,0,0,PASS,42701089,13274176,PASS
ldadd,acquire,miss,random,536870912,2,1000000,0,0,0,0,2000000,113402881,35273088,2001313,1997058,1998497,6000917,105632855,35255424,35255424,0,0,0,PASS,104632833,32548160,PASS
