condition,N,treatment,placement,repeat,iters,n_access,base_cyc,base_ns,base_cyc_iter,base_ns_iter,base_cyc_op,base_gate
hit,1,cas,acqrel,0,1000000,1000000,15994783,4983104,15.995,4.983,15.9948,PASS
hit,1,cas,acqrel,1,1000000,1000000,15995051,4984864,15.995,4.985,15.9951,PASS
hit,1,cas,acqrel,2,1000000,1000000,15995717,4977120,15.996,4.977,15.9957,PASS
hit,1,cas,acqrel,3,1000000,1000000,15995154,4977504,15.995,4.978,15.9952,PASS
hit,1,cas,acqrel,4,1000000,1000000,15994961,4978656,15.995,4.979,15.9950,PASS
hit,1,cas,acqrel,5,1000000,1000000,15995538,4990464,15.996,4.990,15.9955,PASS
hit,1,cas,acqrel,6,1000000,1000000,15995938,4995936,15.996,4.996,15.9959,PASS
hit,1,cas,acqrel,7,1000000,1000000,15994612,4977856,15.995,4.978,15.9946,PASS
hit,1,cas,acqrel,8,1000000,1000000,15995210,4979168,15.995,4.979,15.9952,PASS
hit,1,cas,acqrel,9,1000000,1000000,15994468,4976800,15.994,4.977,15.9945,PASS
hit,1,cas,acquire,0,1000000,1000000,15995012,5005280,15.995,5.005,15.9950,PASS
hit,1,cas,acquire,1,1000000,1000000,15995666,4992480,15.996,4.992,15.9957,PASS
hit,1,cas,acquire,2,1000000,1000000,15995125,4974976,15.995,4.975,15.9951,PASS
hit,1,cas,acquire,3,1000000,1000000,15994687,4976480,15.995,4.976,15.9947,PASS
hit,1,cas,acquire,4,1000000,1000000,15994534,4976064,15.995,4.976,15.9945,PASS
hit,1,cas,acquire,5,1000000,1000000,15995161,4986240,15.995,4.986,15.9952,PASS
hit,1,cas,acquire,6,1000000,1000000,15994931,4975424,15.995,4.975,15.9949,PASS
hit,1,cas,acquire,7,1000000,1000000,15995219,4973536,15.995,4.974,15.9952,PASS
hit,1,cas,acquire,8,1000000,1000000,15995784,4973344,15.996,4.973,15.9958,PASS
hit,1,cas,acquire,9,1000000,1000000,15994108,4974080,15.994,4.974,15.9941,PASS
hit,1,cas,release,0,1000000,1000000,15995818,5005344,15.996,5.005,15.9958,PASS
hit,1,cas,release,1,1000000,1000000,15995538,4987168,15.996,4.987,15.9955,PASS
hit,1,cas,release,2,1000000,1000000,15995019,4975744,15.995,4.976,15.9950,PASS
hit,1,cas,release,3,1000000,1000000,15994255,4973920,15.994,4.974,15.9943,PASS
hit,1,cas,release,4,1000000,1000000,15995113,4975392,15.995,4.975,15.9951,PASS
hit,1,cas,release,5,1000000,1000000,15994917,4986208,15.995,4.986,15.9949,PASS
hit,1,cas,release,6,1000000,1000000,15994784,4974752,15.995,4.975,15.9948,PASS
hit,1,cas,release,7,1000000,1000000,15994952,4974496,15.995,4.974,15.9950,PASS
hit,1,cas,release,8,1000000,1000000,15994588,4974176,15.995,4.974,15.9946,PASS
hit,1,cas,release,9,1000000,1000000,15994796,4974304,15.995,4.974,15.9948,PASS
hit,1,cas,seqcst,0,1000000,1000000,15995517,5001312,15.996,5.001,15.9955,PASS
hit,1,cas,seqcst,1,1000000,1000000,15994736,4980416,15.995,4.980,15.9947,PASS
hit,1,cas,seqcst,2,1000000,1000000,15995446,4975712,15.995,4.976,15.9954,PASS
hit,1,cas,seqcst,3,1000000,1000000,15994892,4973504,15.995,4.974,15.9949,PASS
hit,1,cas,seqcst,4,1000000,1000000,15994726,4975456,15.995,4.975,15.9947,PASS
hit,1,cas,seqcst,5,1000000,1000000,15994673,4982976,15.995,4.983,15.9947,PASS
hit,1,cas,seqcst,6,1000000,1000000,15995458,4974272,15.995,4.974,15.9955,PASS
hit,1,cas,seqcst,7,1000000,1000000,15995244,4973920,15.995,4.974,15.9952,PASS
hit,1,cas,seqcst,8,1000000,1000000,15994776,4973344,15.995,4.973,15.9948,PASS
hit,1,cas,seqcst,9,1000000,1000000,15995310,4972800,15.995,4.973,15.9953,PASS
hit,1,ldadd,acqrel,0,1000000,1000000,14841517,4655392,14.842,4.655,14.8415,PASS
hit,1,ldadd,acqrel,1,1000000,1000000,14835946,4622112,14.836,4.622,14.8359,PASS
hit,1,ldadd,acqrel,2,1000000,1000000,14836974,4617472,14.837,4.617,14.8370,PASS
hit,1,ldadd,acqrel,3,1000000,1000000,14837460,4616320,14.837,4.616,14.8375,PASS
hit,1,ldadd,acqrel,4,1000000,1000000,14838218,4615936,14.838,4.616,14.8382,PASS
hit,1,ldadd,acqrel,5,1000000,1000000,14837613,4615360,14.838,4.615,14.8376,PASS
hit,1,ldadd,acqrel,6,1000000,1000000,14841380,4614528,14.841,4.615,14.8414,PASS
hit,1,ldadd,acqrel,7,1000000,1000000,14837760,4614368,14.838,4.614,14.8378,PASS
hit,1,ldadd,acqrel,8,1000000,1000000,14840401,4617056,14.840,4.617,14.8404,PASS
hit,1,ldadd,acqrel,9,1000000,1000000,14837550,4615168,14.838,4.615,14.8376,PASS
hit,1,ldadd,acquire,0,1000000,1000000,14839199,4663584,14.839,4.664,14.8392,PASS
hit,1,ldadd,acquire,1,1000000,1000000,14836533,4618560,14.837,4.619,14.8365,PASS
hit,1,ldadd,acquire,2,1000000,1000000,14838508,4614464,14.839,4.614,14.8385,PASS
hit,1,ldadd,acquire,3,1000000,1000000,14840231,4614816,14.840,4.615,14.8402,PASS
hit,1,ldadd,acquire,4,1000000,1000000,14841727,4615488,14.842,4.615,14.8417,PASS
hit,1,ldadd,acquire,5,1000000,1000000,14839042,4614272,14.839,4.614,14.8390,PASS
hit,1,ldadd,acquire,6,1000000,1000000,14836980,4613216,14.837,4.613,14.8370,PASS
hit,1,ldadd,acquire,7,1000000,1000000,14844841,4615552,14.845,4.616,14.8448,PASS
hit,1,ldadd,acquire,8,1000000,1000000,14842059,4613696,14.842,4.614,14.8421,PASS
hit,1,ldadd,acquire,9,1000000,1000000,14839232,4615488,14.839,4.615,14.8392,PASS
hit,1,ldadd,release,0,1000000,1000000,14838250,4654208,14.838,4.654,14.8383,PASS
hit,1,ldadd,release,1,1000000,1000000,14837830,4626272,14.838,4.626,14.8378,PASS
hit,1,ldadd,release,2,1000000,1000000,14837811,4617888,14.838,4.618,14.8378,PASS
hit,1,ldadd,release,3,1000000,1000000,14837641,4614784,14.838,4.615,14.8376,PASS
hit,1,ldadd,release,4,1000000,1000000,14838130,4617632,14.838,4.618,14.8381,PASS
hit,1,ldadd,release,5,1000000,1000000,14838093,4616512,14.838,4.617,14.8381,PASS
hit,1,ldadd,release,6,1000000,1000000,14837988,4615712,14.838,4.616,14.8380,PASS
hit,1,ldadd,release,7,1000000,1000000,14837615,4615200,14.838,4.615,14.8376,PASS
hit,1,ldadd,release,8,1000000,1000000,14838939,4613760,14.839,4.614,14.8389,PASS
hit,1,ldadd,release,9,1000000,1000000,14837883,4613856,14.838,4.614,14.8379,PASS
hit,1,ldadd,seqcst,0,1000000,1000000,14837978,4620480,14.838,4.620,14.8380,PASS
hit,1,ldadd,seqcst,1,1000000,1000000,14838037,4637216,14.838,4.637,14.8380,PASS
hit,1,ldadd,seqcst,2,1000000,1000000,14837358,4619008,14.837,4.619,14.8374,PASS
hit,1,ldadd,seqcst,3,1000000,1000000,14836915,4617248,14.837,4.617,14.8369,PASS
hit,1,ldadd,seqcst,4,1000000,1000000,14838286,4614752,14.838,4.615,14.8383,PASS
hit,1,ldadd,seqcst,5,1000000,1000000,14839722,4615904,14.840,4.616,14.8397,PASS
hit,1,ldadd,seqcst,6,1000000,1000000,14840138,4617088,14.840,4.617,14.8401,PASS
hit,1,ldadd,seqcst,7,1000000,1000000,14837711,4614560,14.838,4.615,14.8377,PASS
hit,1,ldadd,seqcst,8,1000000,1000000,14838071,4615744,14.838,4.616,14.8381,PASS
hit,1,ldadd,seqcst,9,1000000,1000000,14841792,4616576,14.842,4.617,14.8418,PASS
hit,1,swp,acqrel,0,1000000,1000000,14547292,4534816,14.547,4.535,14.5473,PASS
hit,1,swp,acqrel,1,1000000,1000000,14543782,4533312,14.544,4.533,14.5438,PASS
hit,1,swp,acqrel,2,1000000,1000000,14542109,4526912,14.542,4.527,14.5421,PASS
hit,1,swp,acqrel,3,1000000,1000000,14543957,4522816,14.544,4.523,14.5440,PASS
hit,1,swp,acqrel,4,1000000,1000000,14541416,4522592,14.541,4.523,14.5414,PASS
hit,1,swp,acqrel,5,1000000,1000000,14539135,4521984,14.539,4.522,14.5391,PASS
hit,1,swp,acqrel,6,1000000,1000000,14540037,4525760,14.540,4.526,14.5400,PASS
hit,1,swp,acqrel,7,1000000,1000000,14538904,4522304,14.539,4.522,14.5389,PASS
hit,1,swp,acqrel,8,1000000,1000000,14539258,4524224,14.539,4.524,14.5393,PASS
hit,1,swp,acqrel,9,1000000,1000000,14540296,4525600,14.540,4.526,14.5403,PASS
hit,1,swp,acquire,0,1000000,1000000,14506019,4533216,14.506,4.533,14.5060,PASS
hit,1,swp,acquire,1,1000000,1000000,14503766,4520192,14.504,4.520,14.5038,PASS
hit,1,swp,acquire,2,1000000,1000000,14525219,4519008,14.525,4.519,14.5252,PASS
hit,1,swp,acquire,3,1000000,1000000,14539696,4522720,14.540,4.523,14.5397,PASS
hit,1,swp,acquire,4,1000000,1000000,14506841,4511680,14.507,4.512,14.5068,PASS
hit,1,swp,acquire,5,1000000,1000000,14505733,4510848,14.506,4.511,14.5057,PASS
hit,1,swp,acquire,6,1000000,1000000,14505566,4510848,14.506,4.511,14.5056,PASS
hit,1,swp,acquire,7,1000000,1000000,14506148,4510816,14.506,4.511,14.5061,PASS
hit,1,swp,acquire,8,1000000,1000000,14504688,4510048,14.505,4.510,14.5047,PASS
hit,1,swp,acquire,9,1000000,1000000,14506685,4511904,14.507,4.512,14.5067,PASS
hit,1,swp,release,0,1000000,1000000,14506750,4519840,14.507,4.520,14.5068,PASS
hit,1,swp,release,1,1000000,1000000,14507513,4512704,14.508,4.513,14.5075,PASS
hit,1,swp,release,2,1000000,1000000,14504726,4515968,14.505,4.516,14.5047,PASS
hit,1,swp,release,3,1000000,1000000,14505743,4513184,14.506,4.513,14.5057,PASS
hit,1,swp,release,4,1000000,1000000,14549758,4531904,14.550,4.532,14.5498,PASS
hit,1,swp,release,5,1000000,1000000,14506382,4513056,14.506,4.513,14.5064,PASS
hit,1,swp,release,6,1000000,1000000,14506633,4513312,14.507,4.513,14.5066,PASS
hit,1,swp,release,7,1000000,1000000,14550407,4525024,14.550,4.525,14.5504,PASS
hit,1,swp,release,8,1000000,1000000,14506844,4578080,14.507,4.578,14.5068,PASS
hit,1,swp,release,9,1000000,1000000,14528268,4521216,14.528,4.521,14.5283,PASS
hit,1,swp,seqcst,0,1000000,1000000,14529226,4536704,14.529,4.537,14.5292,PASS
hit,1,swp,seqcst,1,1000000,1000000,14506603,4528032,14.507,4.528,14.5066,PASS
hit,1,swp,seqcst,2,1000000,1000000,14505344,4513920,14.505,4.514,14.5053,PASS
hit,1,swp,seqcst,3,1000000,1000000,14505947,4513440,14.506,4.513,14.5059,PASS
hit,1,swp,seqcst,4,1000000,1000000,14510412,4513600,14.510,4.514,14.5104,PASS
hit,1,swp,seqcst,5,1000000,1000000,14528176,4519456,14.528,4.519,14.5282,PASS
hit,1,swp,seqcst,6,1000000,1000000,14506821,4513216,14.507,4.513,14.5068,PASS
hit,1,swp,seqcst,7,1000000,1000000,14507747,4511616,14.508,4.512,14.5077,PASS
hit,1,swp,seqcst,8,1000000,1000000,14506858,4512384,14.507,4.512,14.5069,PASS
hit,1,swp,seqcst,9,1000000,1000000,14522439,4517280,14.522,4.517,14.5224,PASS
hit,2,cas,acqrel,0,1000000,2000000,31463196,9793632,31.463,9.794,15.7316,PASS
hit,2,cas,acqrel,1,1000000,2000000,31462637,9776352,31.463,9.776,15.7313,PASS
hit,2,cas,acqrel,2,1000000,2000000,31461699,9773280,31.462,9.773,15.7308,PASS
hit,2,cas,acqrel,3,1000000,2000000,31463442,9773664,31.463,9.774,15.7317,PASS
hit,2,cas,acqrel,4,1000000,2000000,31463376,9770720,31.463,9.771,15.7317,PASS
hit,2,cas,acqrel,5,1000000,2000000,31462052,9771264,31.462,9.771,15.7310,PASS
hit,2,cas,acqrel,6,1000000,2000000,31462802,9792768,31.463,9.793,15.7314,PASS
hit,2,cas,acqrel,7,1000000,2000000,31462585,9801920,31.463,9.802,15.7313,PASS
hit,2,cas,acqrel,8,1000000,2000000,31461495,9776352,31.461,9.776,15.7307,PASS
hit,2,cas,acqrel,9,1000000,2000000,31461770,9770688,31.462,9.771,15.7309,PASS
hit,2,cas,acquire,0,1000000,2000000,31462257,9797824,31.462,9.798,15.7311,PASS
hit,2,cas,acquire,1,1000000,2000000,31463120,9776064,31.463,9.776,15.7316,PASS
hit,2,cas,acquire,2,1000000,2000000,31462172,9770880,31.462,9.771,15.7311,PASS
