treatment,placement,condition,pattern,ws_bytes,stores,iters,warmup,repeat,core,numa_bind,n_access,base_cyc,base_ns,base_l1,base_l2,base_ll,base_mem,base_stall,base_enabled,base_running,base_cs,base_mig,base_pf,base_gate,treat_cyc,treat_ns,treat_gate
swp,acquire,miss,random,536870912,1,1000000,0,0,0,0,1000000,59916962,18645344,1000985,998584,1001618,3000435,54922141,18630784,18630784,0,0,0,PASS,48554563,15108576,PASS
swp,acquire,miss,random,536870912,1,1000000,0,1,0,0,1000000,45562613,14170464,1001391,998440,998648,3000310,39698883,47888544,47888544,0,0,0,PASS,45329989,14108576,PASS
swp,acquire,miss,random,536870912,1,1000000,0,2,0,0,1000000,45125090,14055136,1001423,998429,998635,3000310,39229485,76025280,76025280,0,0,0,PASS,44935978,13972000,PASS
swp,acquire,miss,random,536870912,1,1000000,0,3,0,0,1000000,44247355,13756928,1001399,998336,998551,3000309,38282735,103736704,103736704,0,0,0,PASS,43817316,13630976,PASS
swp,acquire,miss,random,536870912,1,1000000,0,4,0,0,1000000,43410420,13494528,1001401,998372,998578,3000293,37403839,130844224,130844224,0,0,0,PASS,42249686,13136384,PASS
swp,acquire,miss,random,536870912,1,1000000,0,5,0,0,1000000,41556593,12923872,1001322,998336,998539,3000261,35453998,156886464,156886464,0,0,0,PASS,41409374,12876512,PASS
swp,acquire,miss,random,536870912,1,1000000,0,6,0,0,1000000,40868597,12713312,1001339,998346,998560,3000283,34770837,182458688,182458688,0,0,0,PASS,40732666,12666624,PASS
swp,acquire,miss,random,536870912,1,1000000,0,7,0,0,1000000,40619422,12630816,1001323,998303,998501,3000265,34459778,207737920,207737920,0,0,0,PASS,40581935,12621248,PASS
swp,acquire,miss,random,536870912,1,1000000,0,8,0,0,1000000,40504638,12598976,1001331,998336,998550,3000279,34354345,232940544,232940544,0,0,0,PASS,40452537,12580832,PASS
swp,acquire,miss,random,536870912,1,1000000,0,9,0,0,1000000,40400452,12565600,1001326,998327,998535,3000282,34238943,258068544,258068544,0,0,0,PASS,40374276,12554016,PASS
swp,acquire,miss,random,536870912,2,1000000,0,0,0,0,2000000,113974216,35503328,2001196,1997153,2001639,6000880,104842143,35438080,35438080,0,0,0,PASS,104929206,32625792,PASS
swp,acquire,miss,random,536870912,2,1000000,0,1,0,0,2000000,102020029,31737504,2001954,1996757,1997269,6000780,92716447,99757248,99757248,0,0,0,PASS,101498560,31540384,PASS
swp,acquire,miss,random,536870912,2,1000000,0,2,0,0,2000000,101103872,31413600,2001839,1996680,1997212,6000785,91771763,162689312,162689312,0,0,0,PASS,100234046,31152736,PASS
swp,acquire,miss,random,536870912,2,1000000,0,3,0,0,2000000,99853363,31048928,2002019,1996748,1997206,6000784,90480016,224850944,224850944,0,0,0,PASS,99285212,30840032,PASS
swp,acquire,miss,random,536870912,2,1000000,0,4,0,0,2000000,98826877,30709184,2002040,1996695,1997177,6000779,89425390,286378528,286378528,0,0,0,PASS,98752193,30680032,PASS
swp,acquire,miss,random,536870912,2,1000000,0,5,0,0,2000000,98819063,30734432,2001926,1996733,1997210,6000796,89405792,347743424,347743424,0,0,0,PASS,98777778,30685632,PASS
swp,acquire,miss,random,536870912,2,1000000,0,6,0,0,2000000,98357652,30604832,2002122,1996774,1997248,6000779,88919551,408995456,408995456,0,0,0,PASS,98127928,30484896,PASS
swp,acquire,miss,random,536870912,2,1000000,0,7,0,0,2000000,98037682,30458048,2002058,1996617,1997124,6000802,88601345,469916608,469916608,0,0,0,PASS,98051503,30471936,PASS
swp,acquire,miss,random,536870912,2,1000000,0,8,0,0,2000000,98071212,30505888,2002133,1996709,1997213,6000782,88627255,530847744,530847744,0,0,0,PASS,98024181,30456224,PASS
swp,acquire,miss,random,536870912,2,1000000,0,9,0,0,2000000,98088388,30478048,2002040,1996770,1997291,6000784,88637505,591759904,591759904,0,0,0,PASS,98009610,30453312,PASS
swp,acquire,miss,random,536870912,4,1000000,0,0,0,0,4000000,226002535,70250752,4002482,3993379,3998575,12618372,208085557,70229824,70229824,0,0,0,PASS,244490099,76020480,PASS
swp,acquire,miss,random,536870912,4,1000000,0,1,0,0,4000000,224119423,69626784,4002601,3993057,3993994,12612260,206196530,215816608,215816608,0,0,0,PASS,244266308,75881120,PASS
swp,acquire,miss,random,536870912,4,1000000,0,2,0,0,4000000,224138013,69617888,4002625,3993028,3993969,12610365,206216390,361283424,361283424,0,0,0,PASS,244370244,75907584,PASS
swp,acquire,miss,random,536870912,4,1000000,0,3,0,0,4000000,224087658,69614176,4002654,3993088,3994041,12610334,206167373,506772704,506772704,0,0,0,PASS,244048088,75840832,PASS
swp,acquire,miss,random,536870912,4,1000000,0,4,0,0,4000000,224086249,69604864,4002684,3993146,3994087,12611990,206163806,652170496,652170496,0,0,0,PASS,244065349,75813824,PASS
swp,acquire,miss,random,536870912,4,1000000,0,5,0,0,4000000,224046039,69599552,4002621,3993125,3994081,12607976,206135272,797554272,797554272,0,0,0,PASS,244025695,75841248,PASS
swp,acquire,miss,random,536870912,4,1000000,0,6,0,0,4000000,223989995,69579104,4002683,3993150,3994137,12611525,206066325,942913312,942913312,0,0,0,PASS,244458028,75969600,PASS
swp,acquire,miss,random,536870912,4,1000000,0,7,0,0,4000000,224216813,69654208,4002667,3993144,3994111,12612669,206292771,1088502176,1088502176,0,0,0,PASS,244070940,75823200,PASS
swp,acquire,miss,random,536870912,4,1000000,0,8,0,0,4000000,223997167,69579968,4002774,3993189,3994150,12607611,206077616,1233876256,1233876256,0,0,0,PASS,244516321,75950048,PASS
swp,acquire,miss,random,536870912,4,1000000,0,9,0,0,4000000,224050204,69655456,4002664,3993059,3993981,12616170,206124608,1379402208,1379402208,0,0,0,PASS,244684163,76056928,PASS
swp,acquire,miss,random,536870912,8,1000000,0,0,0,0,8000000,450954171,140152416,8007255,7986549,7990868,24681266,418808467,140083904,140083904,0,0,0,PASS,491677636,152793472,PASS
swp,acquire,miss,random,536870912,8,1000000,0,1,0,0,8000000,450816331,140095168,8007099,7986287,7988094,24680589,418658115,432854752,432854752,0,0,0,PASS,491651773,152696224,PASS
swp,acquire,miss,random,536870912,8,1000000,0,2,0,0,8000000,450726933,140054560,8007180,7986111,7987942,24686549,418554278,725557248,725557248,0,0,0,PASS,491519751,152670176,PASS
swp,acquire,miss,random,536870912,8,1000000,0,3,0,0,8000000,450749339,140045024,8007123,7986261,7988099,24682501,418580209,1018214528,1018214528,0,0,0,PASS,491589504,152661856,PASS
swp,acquire,miss,random,536870912,8,1000000,0,4,0,0,8000000,450583057,139990592,8007099,7986182,7988027,24677928,418427947,1310807584,1310807584,0,0,0,PASS,491543425,152684192,PASS
swp,acquire,miss,random,536870912,8,1000000,0,5,0,0,8000000,450607419,139986048,8007147,7986365,7988196,24676804,418459659,1603407680,1603407680,0,0,0,PASS,491255768,152589568,PASS
swp,acquire,miss,random,536870912,8,1000000,0,6,0,0,8000000,450449842,140005376,8007267,7986103,7987942,24684737,418283092,1895899392,1895899392,0,0,0,PASS,491354653,152603616,PASS
swp,acquire,miss,random,536870912,8,1000000,0,7,0,0,8000000,450551895,139956160,8007195,7986070,7987904,24690453,418376927,2188427360,2188427360,0,0,0,PASS,491359558,152781728,PASS
swp,acquire,miss,random,536870912,8,1000000,0,8,0,0,8000000,450523437,139943456,8007179,7986136,7987967,24685460,418351525,2481006656,2481006656,0,0,0,PASS,491203339,152565952,PASS
swp,acquire,miss,random,536870912,8,1000000,0,9,0,0,8000000,450529907,139937056,8007238,7986044,7987855,24684593,418365179,2773460416,2773460416,0,0,0,PASS,491187948,152583456,PASS
swp,acquire,miss,random,536870912,16,1000000,0,0,0,0,16000000,901481395,280455904,16006112,15972946,15977508,48009608,837319389,280178784,280178784,0,0,0,PASS,901168404,279995744,PASS
swp,acquire,miss,random,536870912,16,1000000,0,1,0,0,16000000,901201915,279946560,16006207,15972288,15975884,48008086,837053960,839975136,839975136,0,0,0,PASS,901577312,280125600,PASS
swp,acquire,miss,random,536870912,16,1000000,0,2,0,0,16000000,901152626,280044896,16006350,15972174,15975651,48008145,837118031,1399948480,1399948480,0,0,0,PASS,901151146,279925504,PASS
swp,acquire,miss,random,536870912,16,1000000,0,3,0,0,16000000,901274714,279991264,16006476,15972141,15975586,48008064,837173214,1959793024,1959793024,0,0,0,PASS,901111408,279914752,PASS
swp,acquire,miss,random,536870912,16,1000000,0,4,0,0,16000000,901308571,280114208,16006220,15972232,15975627,48008099,837189801,2519719104,2519719104,0,0,0,PASS,901171239,279976832,PASS
swp,acquire,miss,random,536870912,16,1000000,0,5,0,0,16000000,901008919,279959360,16006588,15972533,15975973,48008121,836939194,3079499840,3079499840,0,0,0,PASS,900921365,279878720,PASS
swp,acquire,miss,random,536870912,16,1000000,0,6,0,0,16000000,900889333,279896512,16006612,15972151,15975533,48008047,836863159,3639150400,3639150400,0,0,0,PASS,900747047,279803104,PASS
swp,acquire,miss,random,536870912,16,1000000,0,7,0,0,16000000,900947662,279835840,16006163,15972094,15975538,48008090,836811808,4198740224,4198740224,0,0,0,PASS,900923530,279895168,PASS
swp,acquire,miss,random,536870912,16,1000000,0,8,0,0,16000000,901008207,279891520,16006291,15972228,15975778,48008101,836868711,4758429824,4758429824,0,0,0,PASS,900891867,280006336,PASS
swp,acquire,miss,random,536870912,16,1000000,0,9,0,0,16000000,903706066,280787648,16006143,15972434,15976074,48008104,839650369,5319083712,5319083712,0,0,0,PASS,901374292,279967264,PASS
swp,acquire,miss,random,536870912,32,1000000,0,0,0,0,32000000,1803776961,560327936,32019063,31947277,31957301,96016395,1675742233,560289472,560289472,0,0,0,PASS,1803131819,560108576,PASS
swp,acquire,miss,random,536870912,32,1000000,0,1,0,0,32000000,1803174632,560108288,32019177,31948048,31954864,96016359,1675146555,1680288512,1680288512,0,0,0,PASS,1802890592,560011168,PASS
swp,acquire,miss,random,536870912,32,1000000,0,2,0,0,32000000,1802961489,560070336,32019324,31947693,31954496,96016330,1674909197,2800156608,2800156608,0,0,0,PASS,1802824046,560022336,PASS
swp,acquire,miss,random,536870912,32,1000000,0,3,0,0,32000000,1802526874,559950560,32019550,31947744,31954523,96016268,1674487430,3919870336,3919870336,0,0,0,PASS,1802871091,559923840,PASS
swp,acquire,miss,random,536870912,32,1000000,0,4,0,0,32000000,1802655321,559938656,32019248,31947811,31954696,96016399,1674592706,5039570464,5039570464,0,0,0,PASS,1802635889,559961536,PASS
swp,acquire,miss,random,536870912,32,1000000,0,5,0,0,32000000,1802784234,560058400,32019272,31948471,31955262,96016329,1674750323,6159305408,6159305408,0,0,0,PASS,1802797630,559912896,PASS
swp,acquire,miss,random,536870912,32,1000000,0,6,0,0,32000000,1802598784,559890336,32019217,31948493,31955367,96016312,1674581797,7278887520,7278887520,0,0,0,PASS,1803075555,560048512,PASS
swp,acquire,miss,random,536870912,32,1000000,0,7,0,0,32000000,1802983512,559856576,32019315,31947230,31953994,96016306,1674941297,8398588768,8398588768,0,0,0,PASS,1802569844,559858464,PASS
swp,acquire,miss,random,536870912,32,1000000,0,8,0,0,32000000,1802553689,559821952,32019243,31947932,31954697,96016349,1674550877,9518084640,9518084640,0,0,0,PASS,1802532216,559863776,PASS
swp,acquire,miss,random,536870912,32,1000000,0,9,0,0,32000000,1802399154,559738592,32019163,31947089,31953792,96016407,1674308065,10637524384,10637524384,0,0,0,PASS,1802510133,559790720,PASS
swp,acquire,miss,random,536870912,64,1000000,0,0,0,0,64000000,3608115668,1120741152,64048755,63891492,63910368,198133500,3344110297,1120507488,1120507488,0,0,0,PASS,3932607357,1221283264,PASS
swp,acquire,miss,random,536870912,64,1000000,0,1,0,0,64000000,3607601430,1120324064,64048908,63889411,63904000,198186015,3343506397,3461821856,3461821856,0,0,0,PASS,3932083690,1221153120,PASS
swp,acquire,miss,random,536870912,64,1000000,0,2,0,0,64000000,3608228119,1120705088,64048915,63890550,63905082,198204175,3344093873,5803271168,5803271168,0,0,0,PASS,3932562500,1221277760,PASS
swp,acquire,miss,random,536870912,64,1000000,0,3,0,0,64000000,3607873000,1120500576,64048659,63889793,63904439,198173403,3343786420,8144657504,8144657504,0,0,0,PASS,3932833508,1221284384,PASS
swp,acquire,miss,random,536870912,64,1000000,0,4,0,0,64000000,3608341070,1120732096,64048677,63889976,63904806,198181864,3344259331,10486334560,10486334560,0,0,0,PASS,3932621214,1221268000,PASS
swp,acquire,miss,random,536870912,64,1000000,0,5,0,0,64000000,3607808527,1120536864,64048516,63889907,63904518,198200350,3343697181,12827803552,12827803552,0,0,0,PASS,3932294489,1221241920,PASS
swp,acquire,miss,random,536870912,64,1000000,0,6,0,0,64000000,3608117924,1120593600,64048959,63889016,63903785,198169367,3344044038,15169346176,15169346176,0,0,0,PASS,3932382352,1221359776,PASS
swp,acquire,miss,random,536870912,64,1000000,0,7,0,0,64000000,3607540924,1120524096,64048461,63889911,63904634,198185055,3343427746,17510824768,17510824768,0,0,0,PASS,3932150242,1221239040,PASS
swp,acquire,miss,random,536870912,64,1000000,0,8,0,0,64000000,3607905400,1120465632,64048576,63888744,63903499,198230156,3343759330,19852231424,19852231424,0,0,0,PASS,3933031086,1221565152,PASS
swp,acquire,miss,random,536870912,64,1000000,0,9,0,0,64000000,3607955466,1120594272,64048672,63889952,63904632,198198793,3343833972,22194012512,22194012512,0,0,0,PASS,3932430622,1221161696,PASS
swp,acquire,hit,random,2048,1,1000000,200000,0,0,0,1000000,14506019,4533216,57,29,45,3000095,593,4518560,4518560,0,0,0,PASS,14530896,4525024,PASS
swp,acquire,hit,random,2048,1,1000000,200000,1,0,0,1000000,14503766,4520192,22,2,2,3000134,105,13547680,13547680,0,0,0,PASS,14528331,4523520,PASS
swp,acquire,hit,random,2048,1,1000000,200000,2,0,0,1000000,14525219,4519008,18,0,2,3000113,0,22575936,22575936,0,0,0,PASS,14504362,4512032,PASS
swp,acquire,hit,random,2048,1,1000000,200000,3,0,0,1000000,14539696,4522720,15,0,3,3000133,0,31596704,31596704,0,0,0,PASS,14502360,4512544,PASS
swp,acquire,hit,random,2048,1,1000000,200000,4,0,0,1000000,14506841,4511680,9,0,3,3000133,0,40607040,40607040,0,0,0,PASS,14505730,4513120,PASS
swp,acquire,hit,random,2048,1,1000000,200000,5,0,0,1000000,14505733,4510848,14,0,0,3000092,0,49617088,49617088,0,0,0,PASS,14505346,4523136,PASS
swp,acquire,hit,random,2048,1,1000000,200000,6,0,0,1000000,14505566,4510848,15,0,0,3000092,0,58637056,58637056,0,0,0,PASS,14505176,4512384,PASS
swp,acquire,hit,random,2048,1,1000000,200000,7,0,0,1000000,14506148,4510816,14,0,0,3000092,0,67646336,67646336,0,0,0,PASS,14504788,4511648,PASS
swp,acquire,hit,random,2048,1,1000000,200000,8,0,0,1000000,14504688,4510048,11,0,0,3000173,0,76653792,76653792,0,0,0,PASS,14506773,4554208,PASS
swp,acquire,hit,random,2048,1,1000000,200000,9,0,0,1000000,14506685,4511904,11,0,0,3000113,0,85671872,85671872,0,0,0,PASS,14504938,4514080,PASS
swp,acquire,hit,random,2048,2,1000000,200000,0,0,0,2000000,28603363,8918112,63,46,61,6000383,1352,8900320,8900320,0,0,0,PASS,28604788,8892928,PASS
swp,acquire,hit,random,2048,2,1000000,200000,1,0,0,2000000,28603363,8884096,30,0,4,6000304,0,26662784,26662784,0,0,0,PASS,28603263,8883136,PASS
swp,acquire,hit,random,2048,2,1000000,200000,2,0,0,2000000,28603159,8885376,25,0,2,6000304,0,44417280,44417280,0,0,0,PASS,28603054,8890816,PASS
swp,acquire,hit,random,2048,2,1000000,200000,3,0,0,2000000,28605167,8883264,20,0,0,6000309,0,62177120,62177120,0,0,0,PASS,28604600,8883328,PASS
swp,acquire,hit,random,2048,2,1000000,200000,4,0,0,2000000,28604182,8884512,22,0,1,6000281,0,79930944,79930944,0,0,0,PASS,28603433,8883904,PASS
swp,acquire,hit,random,2048,2,1000000,200000,5,0,0,2000000,28603375,8891136,20,0,1,6000328,0,97691872,97691872,0,0,0,PASS,28603655,8883168,PASS
swp,acquire,hit,random,2048,2,1000000,200000,6,0,0,2000000,28603328,8882784,25,0,8,6000255,0,115443744,115443744,0,0,0,PASS,28604084,8881120,PASS
swp,acquire,hit,random,2048,2,1000000,200000,7,0,0,2000000,28602200,8883296,25,0,0,6000279,0,133194112,133194112,0,0,0,PASS,28604163,8883936,PASS
swp,acquire,hit,random,2048,2,1000000,200000,8,0,0,2000000,28603828,8882880,20,0,0,6000256,0,150946944,150946944,0,0,0,PASS,28604186,8883168,PASS
swp,acquire,hit,random,2048,2,1000000,200000,9,0,0,2000000,28603818,8902880,34,0,1,6000280,0,168704288,168704288,0,0,0,PASS,28603776,8883456,PASS
swp,acquire,hit,random,2048,4,1000000,200000,0,0,0,4000000,56754703,17642400,53,23,68,12000620,679,17631712,17631712,0,0,0,PASS,56752382,17619072,PASS
swp,acquire,hit,random,2048,4,1000000,200000,1,0,0,4000000,56752016,17667136,28,2,2,12000699,0,52884512,52884512,0,0,0,PASS,56750166,17613280,PASS
swp,acquire,hit,random,2048,4,1000000,200000,2,0,0,4000000,56753180,17610368,17,1,2,12000569,0,88093120,88093120,0,0,0,PASS,56752225,17612576,PASS
swp,acquire,hit,random,2048,4,1000000,200000,3,0,0,4000000,56752476,17625152,30,1,14,12000646,89,123316512,123316512,0,0,0,PASS,56750518,17609504,PASS
swp,acquire,hit,random,2048,4,1000000,200000,4,0,0,4000000,56753196,17614880,23,2,3,12000674,0,158526208,158526208,0,0,0,PASS,56751448,17611040,PASS
swp,acquire,hit,random,2048,4,1000000,200000,5,0,0,4000000,56753444,17617376,17,0,2,12000804,0,193740160,193740160,0,0,0,PASS,56753163,17616640,PASS
swp,acquire,hit,random,2048,4,1000000,200000,6,0,0,4000000,56750905,17626240,18,1,2,12000595,0,228954688,228954688,0,0,0,PASS,56751941,17614880,PASS
swp,acquire,hit,random,2048,4,1000000,200000,7,0,0,4000000,56753416,17609952,14,0,6,12000617,0,264164896,264164896,0,0,0,PASS,56751033,17611104,PASS
swp,acquire,hit,random,2048,4,1000000,200000,8,0,0,4000000,56751591,17649088,40,1,2,12000672,0,299379008,299379008,0,0,0,PASS,56752448,17618944,PASS
swp,acquire,hit,random,2048,4,1000000,200000,9,0,0,4000000,56751162,17612512,23,2,2,12000703,0,334596032,334596032,0,0,0,PASS,56753277,17614528,PASS
swp,acquire,hit,random,2048,8,1000000,200000,0,0,0,8000000,113113154,35104064,55,30,57,24001370,659,35092768,35092768,0,0,0,PASS,113112293,35108608,PASS
swp,acquire,hit,random,2048,8,1000000,200000,1,0,0,8000000,113113671,35097216,41,0,1,24001424,0,105281760,105281760,0,0,0,PASS,113111603,35103136,PASS
swp,acquire,hit,random,2048,8,1000000,200000,2,0,0,8000000,113113785,35090624,31,2,21,24001276,0,175460160,175460160,0,0,0,PASS,113112972,35087584,PASS
swp,acquire,hit,random,2048,8,1000000,200000,3,0,0,8000000,113115712,35091744,31,3,20,24001304,0,245625024,245625024,0,0,0,PASS,113113847,35087904,PASS
