treatment,placement,condition,pattern,ws_bytes,stores,iters,repeats,base_cyc_iter,base_ns_iter,var_cyc_iter,var_ns_iter,incr_cyc_iter,incr_ns_iter,base_cyc_op,var_cyc_op,incr_cyc_op,base_l1_acc,base_l2_acc,base_ll_acc,base_mem_acc,base_stall_frac,base_mux,base_cs,base_mig,base_pf,base_pass,base_tot,treat_pass,treat_tot
swp,acquire,miss,random,536870912,1,1000000,10,43.41,13.49,42.25,13.14,-0.15,-0.05,43.4104,42.2497,-0.1472,1.0013,0.9983,0.9986,3.0003,0.8616,1.0000,0,0,0,10,10,10,10
swp,acquire,miss,random,536870912,2,1000000,10,98.83,30.73,98.78,30.69,-0.08,-0.05,49.4134,49.3889,-0.0394,1.0010,0.9984,0.9986,3.0004,0.9049,1.0000,0,0,0,10,10,10,10
swp,acquire,miss,random,536870912,4,1000000,10,224.09,69.62,244.37,75.91,20.15,6.25,56.0219,61.0926,5.0367,1.0007,0.9983,0.9985,3.1530,0.9200,1.0000,0,0,0,10,10,10,10
swp,acquire,miss,random,536870912,8,1000000,10,450.61,140.01,491.52,152.67,40.81,12.62,56.3259,61.4400,5.1010,1.0009,0.9983,0.9985,3.0856,0.9286,1.0000,0,0,0,10,10,10,10
swp,acquire,miss,random,536870912,16,1000000,10,901.20,279.99,901.15,279.97,-0.12,-0.08,56.3251,56.3219,-0.0073,1.0004,0.9983,0.9985,3.0005,0.9289,1.0000,0,0,0,10,10,10,10
swp,acquire,miss,random,536870912,32,1000000,10,1802.78,559.95,1802.82,559.96,-0.02,0.00,56.3370,56.3383,-0.0006,1.0006,0.9984,0.9986,3.0005,0.9290,1.0000,0,0,0,10,10,10,10
swp,acquire,miss,random,536870912,64,1000000,10,3607.96,1120.59,3932.56,1221.28,324.49,100.71,56.3743,61.4463,5.0701,1.0008,0.9983,0.9985,3.0967,0.9268,1.0000,0,0,0,10,10,10,10
swp,acquire,hit,random,2048,1,1000000,10,14.51,4.51,14.51,4.51,-0.00,0.00,14.5061,14.5053,-0.0004,0.0000,0.0000,0.0000,3.0001,0.0000,1.0000,0,0,0,10,10,10,10
swp,acquire,hit,random,2048,2,1000000,10,28.60,8.88,28.60,8.88,0.00,-0.00,14.3017,14.3020,0.0001,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
swp,acquire,hit,random,2048,4,1000000,10,56.75,17.63,56.75,17.61,-0.00,-0.00,14.1883,14.1881,-0.0002,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
