variation,N,hits_x,layout,miss_per_iter,exp_l1_iter,iters,repeats,core,numa_bind,base_cyc_iter,base_ns_iter,treat_cyc_iter,treat_ns_iter,d_cyc_iter,d_ns_iter,base_l1_iter,treat_l1_iter,base_ll_iter,treat_ll_iter,l1_tol,ll_min,base_stall,treat_stall,mux,base_cyc_min,base_cyc_max,base_cyc_std,base_cyc_margin,base_ns_min,base_ns_max,base_ns_std,base_ns_margin,base_gate,treat_gate
1,1,0,-,1,1.0,1000000,15,0,0,12.77,3.99,12.76,3.99,-0.00,-0.00,1.001,1.001,0.999,0.999,1.25,0.50,0.6113,0.6114,1.0000,12.74,12.81,0.02,0.05,3.98,4.02,0.01,0.02,15,15
1,2,0,-,1,1.0,1000000,15,0,0,18.53,5.79,38.06,11.85,19.53,6.06,1.002,1.002,0.999,0.999,1.25,0.50,0.3916,0.7858,1.0000,18.46,18.63,0.05,0.10,5.76,5.81,0.02,0.03,15,15
1,4,0,-,1,1.0,1000000,15,0,0,27.34,8.52,58.96,18.34,31.62,9.82,1.003,1.005,0.999,0.999,1.25,0.50,0.3707,0.6193,1.0000,27.22,27.39,0.06,0.12,8.48,8.54,0.02,0.04,15,15
1,8,0,-,1,1.0,1000000,15,0,0,38.44,11.96,120.45,37.43,82.01,25.47,1.007,1.008,0.999,0.999,1.25,0.50,0.4006,0.8425,1.0000,38.29,38.60,0.08,0.16,11.92,12.03,0.03,0.07,15,15
1,16,0,-,1,1.0,1000000,15,0,0,50.36,15.67,249.01,77.30,198.65,61.62,1.014,1.015,0.999,0.999,1.25,0.50,0.2700,0.8118,1.0000,50.31,50.54,0.07,0.18,15.65,15.72,0.02,0.05,15,15
1,32,0,-,1,1.0,1000000,15,0,0,69.74,21.68,240.66,74.69,170.92,53.00,1.031,1.031,0.999,0.999,1.25,0.50,0.0333,0.6323,1.0000,69.73,69.79,0.02,0.05,21.67,21.72,0.01,0.04,15,15
1,64,0,-,1,1.0,1000000,15,0,0,133.09,41.36,330.40,102.54,197.31,61.17,1.062,1.063,0.999,0.999,1.25,0.50,0.0049,0.6011,1.0000,133.08,138.20,1.86,5.11,41.33,42.91,0.57,1.55,15,15
2,64,1,block,62,62.0,1000000,15,0,0,778.81,242.19,773.48,240.54,-5.33,-1.65,62.143,62.174,61.919,61.929,16.50,31.00,0.6447,0.6098,1.0000,778.59,779.94,0.34,1.14,242.06,242.56,0.12,0.37,15,15
2,64,2,block,61,61.0,1000000,15,0,0,777.77,241.85,770.81,239.70,-6.96,-2.15,61.226,61.224,60.927,60.933,16.25,30.50,0.6469,0.6106,1.0000,777.69,777.95,0.08,0.18,241.78,242.03,0.07,0.18,15,15
2,64,3,block,60,60.0,1000000,15,0,0,772.99,240.34,765.66,238.13,-7.33,-2.21,60.318,60.314,59.921,59.927,16.00,30.00,0.6488,0.6115,1.0000,772.86,773.11,0.07,0.13,240.30,240.38,0.02,0.04,15,15
2,64,4,block,59,59.0,1000000,15,0,0,772.58,240.29,765.52,238.01,-7.06,-2.28,59.367,59.364,58.922,58.928,15.75,29.50,0.6551,0.6195,1.0000,772.44,772.86,0.11,0.27,240.23,240.45,0.06,0.16,15,15
2,64,5,block,58,58.0,1000000,15,0,0,772.25,240.15,765.88,238.16,-6.37,-1.98,58.410,58.409,57.924,57.930,15.50,29.00,0.6572,0.6110,1.0000,772.12,772.58,0.11,0.33,240.07,240.31,0.06,0.16,15,15
2,64,6,block,57,57.0,1000000,15,0,0,772.19,240.17,767.51,238.67,-4.68,-1.51,57.412,57.411,56.924,56.932,15.25,28.50,0.6604,0.6320,1.0000,772.11,772.55,0.13,0.36,240.07,240.29,0.06,0.11,15,15
2,64,7,block,56,56.0,1000000,15,0,0,770.21,239.57,767.33,238.65,-2.88,-0.92,56.495,56.494,55.929,55.934,15.00,28.00,0.6652,0.6391,1.0000,770.02,770.44,0.11,0.22,239.47,239.70,0.06,0.13,15,15
2,64,8,block,55,55.0,1000000,15,0,0,768.93,239.12,768.14,238.92,-0.80,-0.21,55.532,55.530,54.928,54.934,14.75,27.50,0.6672,0.6461,1.0000,768.84,769.11,0.07,0.17,239.06,239.26,0.05,0.14,15,15
2,64,9,block,54,54.0,1000000,15,0,0,767.75,238.81,769.07,239.11,1.32,0.30,54.573,54.574,53.932,53.936,14.50,27.00,0.6688,0.6510,1.0000,767.20,768.35,0.31,0.60,238.64,239.03,0.10,0.22,15,15
2,64,10,block,53,53.0,1000000,15,0,0,765.18,237.96,768.75,239.12,3.57,1.16,53.611,53.610,52.931,52.935,14.25,26.50,0.6709,0.6540,1.0000,765.09,765.42,0.10,0.24,237.87,238.08,0.06,0.12,15,15
2,64,11,block,52,52.0,1000000,15,0,0,763.07,237.31,768.77,239.05,5.70,1.75,52.631,52.626,51.932,51.936,14.00,26.00,0.6732,0.6602,1.0000,762.88,763.29,0.11,0.22,237.19,237.38,0.06,0.12,15,15
2,64,12,block,51,51.0,1000000,15,0,0,760.81,236.61,768.68,239.04,7.87,2.43,51.680,51.681,50.933,50.937,13.75,25.50,0.6741,0.6633,1.0000,760.66,760.98,0.08,0.17,236.50,236.75,0.08,0.14,15,15
2,64,13,block,50,50.0,1000000,15,0,0,760.13,236.41,769.47,239.32,9.34,2.91,50.699,50.700,49.935,49.938,13.50,25.00,0.6758,0.6648,1.0000,759.95,760.35,0.11,0.22,236.33,236.51,0.06,0.09,15,15
2,64,14,block,49,49.0,1000000,15,0,0,755.83,235.09,767.74,238.75,11.91,3.66,49.743,49.744,48.936,48.938,13.25,24.50,0.6773,0.6696,1.0000,755.72,756.10,0.11,0.27,234.97,235.21,0.09,0.12,15,15
2,64,15,block,48,48.0,1000000,15,0,0,752.93,234.11,766.47,238.35,13.54,4.23,48.771,48.769,47.941,47.943,13.00,24.00,0.6776,0.6710,1.0000,752.86,753.06,0.06,0.13,234.05,234.17,0.03,0.06,15,15
